"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"q3_d00",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,8.37139293263344e-17,0.00138698751776514,0.0438603964236109,0.0009812390214598,0.0478570253511981,1.09112158697762,0.024410428669159,0.0438384607401066,0.963,0.00596917079668525,0.187596092191137,"11e_floor_sweep",1000
"q3_d04",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,5.43956427210418e-17,0.00146967380461221,0.0464751664005987,0.00103973631156137,0.0478570253511981,1.0297332760186,0.0230370574485086,0.0464519230050961,0.952,0.00675988165576884,0.187596092191137,"11e_floor_sweep",1000
"q3_d08",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,1.08357098047387e-16,0.00168884769736402,0.0534060534480105,0.00119479320522387,0.0478570253511981,0.896097394610627,0.0200473730818145,0.0533793437421898,0.922,0.00848033018225116,0.187596092191137,"11e_floor_sweep",1000
"q3_d12",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,4.70793515934195e-17,0.00203773970149742,0.0644389873528347,0.0014416205517905,0.0478570253511981,0.742671902790118,0.0166149581531636,0.0644067598002549,0.847,0.0113838042850358,0.187596092191137,"11e_floor_sweep",1000
"q3_d16",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.9108195928319e-17,0.00263981389303708,0.0834782450095327,0.00186756432055959,0.0478570253511981,0.573287391771749,0.0128255101455155,0.0834364954470267,0.748,0.013729384545565,0.187596092191137,"11e_floor_sweep",1000
"q5_d00",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,8.2597294685815e-17,0.00143230643023967,0.0452935062686243,0.00101330036646872,0.0478570253511981,1.05659793850735,0.0236380701451954,0.0452708538509691,0.962,0.00604615580348373,0.187596092191137,"11e_floor_sweep",1000
"q5_d04",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,8.28173081057326e-17,0.00142124693668964,0.0449437743747638,0.00100547621052652,0.0478570253511981,1.06481990035243,0.0238220107944642,0.0449212968667939,0.955,0.00655553201502365,0.187596092191137,"11e_floor_sweep",1000
"q5_d08",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-4.17468760027708e-17,0.00163575754255158,0.0517271953426278,0.00115723401244811,0.0478570253511981,0.925181136038892,0.0206980307207431,0.0517013252758221,0.928,0.00817410545564467,0.187596092191137,"11e_floor_sweep",1000
"q5_d12",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,5.55261098331063e-18,0.00191378243616026,0.0605191144429222,0.00135392567048526,0.0478570253511981,0.790775373891728,0.0176911226833856,0.0604888473170266,0.876,0.0104222838188182,0.187596092191137,"11e_floor_sweep",1000
"q5_d16",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-5.37248603894522e-17,0.00229731358437103,0.0726474342625785,0.00162525884670308,0.0478570253511981,0.658757268401559,0.0147376309867986,0.0726111014599747,0.802,0.012601428490453,0.187596092191137,"11e_floor_sweep",1000
"q7_d00",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,6.23987623724065e-17,0.00142498952406494,0.0450621253792454,0.00100812394363647,0.0478570253511981,1.0620232611851,0.0237594447507508,0.045039588680972,0.966,0.00573096850453743,0.187596092191137,"11e_floor_sweep",1000
"q7_d04",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.0226520151535e-17,0.0014724734437712,0.0465636987642888,0.00104171694596047,0.0478570253511981,1.02777542637788,0.0229932566937897,0.0465404110915323,0.96,0.00619677335393187,0.187596092191137,"11e_floor_sweep",1000
"q7_d08",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,1.05028663446426e-16,0.00161734501283839,0.0511449400288359,0.00114420787313038,0.0478570253511981,0.935713783694261,0.020933665729121,0.0511193611625054,0.93,0.00806845710157772,0.187596092191137,"11e_floor_sweep",1000
"q7_d12",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-2.02105449346665e-18,0.00189584467186571,0.059951872529902,0.00134123540899543,0.0478570253511981,0.798257390998565,0.0178585093862679,0.0599218890959036,0.875,0.0104582503316759,0.187596092191137,"11e_floor_sweep",1000
"q7_d16",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-7.70524018667198e-17,0.00236628628335526,0.074828542514172,0.00167405431370755,0.0478570253511981,0.639555759650595,0.0143080573578834,0.0747911188846674,0.784,0.0130132240432569,0.187596092191137,"11e_floor_sweep",1000
"q2_d00",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.000452055428802381,0.00318204440822005,0.10062507945778,0.00225117104614937,0.107443061870051,1.06775629345099,0.0238877033947506,0.100575770259935,0.958,0.00634318531969546,0.421169063308016,"11e_floor_sweep",1000
"q2_d04",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0019797291074891,0.00341359194717013,0.107947255554668,0.00241498180697503,0.107443061870051,0.995329258886423,0.0222673753011103,0.107911429881834,0.951,0.00682634602111555,0.421169063308016,"11e_floor_sweep",1000
"q2_d08",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.011182570542455,0.00404514177396261,0.127918614640158,0.00286177842634439,0.107443061870051,0.839932969664294,0.0187908699521363,0.12834273911454,0.895,0.00969407035254026,0.421169063308016,"11e_floor_sweep",1000
"q2_d12",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.015366111238292,0.0049372510420651,0.156129586729655,0.00349291058438904,0.107443061870051,0.688165927551533,0.0153955576422729,0.15680621409596,0.818,0.0122014753206323,0.421169063308016,"11e_floor_sweep",1000
