r	br	n	method	bias_ci	bias_es	bias_var
r=0.2	br=0.5	n=100	Tetrachoric (r)	0.988666666666667	0.120818295695205	0.979809498560751
r=0.2	br=0.5	n=100	Cooper (z)	1	0.025958672456114	3.92298913592026
r=0.2	br=0.5	n=100	Lipsey (z)	0.999865861837693	0.00810505680695702	0.748310536473397
r=0.2	br=0.5	n=100	Tetrachoric (z)	0.998133333333333	0.137445152561311	0.972265597392151
r=0.2	br=0.5	n=300	Cooper (r)	1	0.0232520775533436	7.01088177106193
r=0.2	br=0.5	n=300	Lipsey (r)	1	0.00218965799962863	0.771349914918321
r=0.2	br=0.5	n=300	Tetrachoric (r)	0.895066666666667	0.122552209691788	0.996086425516221
r=0.2	br=0.5	n=300	Cooper (z)	1	0.0246196994221749	7.15914602277561
r=0.2	br=0.5	n=300	Lipsey (z)	1	0.00254577938267123	0.773092249011021
r=0.2	br=0.5	n=300	Tetrachoric (z)	0.9412	0.134330873828484	0.990062794696227
r=0.2	br=0.7	n=25	Cooper (r)	1	0.0536021256170983	1.8784450411289
r=0.2	br=0.7	n=25	Lipsey (r)	0.996386025967073	-0.0410709258977376	0.750522008212196
r=0.2	br=0.7	n=25	Tetrachoric (r)	0.998395507420778	0.130347455949936	1.16885366971112
r=0.2	br=0.7	n=25	Cooper (z)	1	0.0631743062269087	1.92766523494388
r=0.2	br=0.7	n=25	Lipsey (z)	0.996386025967073	-0.0423764971234431	
r=0.2	br=0.7	n=25	Tetrachoric (z)	1	0.171949962226996	1.23374040906602
r=0.2	br=0.7	n=50	Cooper (r)	1	0.0751565003362446	2.12730408746225
r=0.2	br=0.7	n=50	Lipsey (r)	0.995900519267559	-0.0459475513950449	0.760910397309959
r=0.2	br=0.7	n=50	Tetrachoric (r)	0.976666666666667	0.157910729586214	0.980386276158796
r=0.2	br=0.7	n=50	Cooper (z)	1	0.087056382256265	2.20527084375461
r=0.2	br=0.7	n=50	Lipsey (z)	0.996310467340803	-0.0484639462355954	
r=0.2	br=0.7	n=50	Tetrachoric (z)	1	0.195632936319866	1.01457625990409
r=0.2	br=0.7	n=75	Cooper (r)	1	0.0788026101052718	2.46516752784596
r=0.2	br=0.7	n=75	Lipsey (r)	0.996933333333333	-0.0486863281167466	0.803373697563274
r=0.2	br=0.7	n=75	Tetrachoric (r)	0.942133333333333	0.163531919078241	0.950299280665542
r=0.2	br=0.7	n=75	Cooper (z)	1	0.0897905913078638	2.51526774223426
r=0.2	br=0.7	n=75	Lipsey (z)	0.9984	-0.0511923154337471	0.810147170693
r=0.2	br=0.7	n=75	Tetrachoric (z)	0.999333333333333	0.195801056036452	0.958183627788145
r=0.2	br=0.7	n=100	Cooper (r)	0.999866666666667	0.0770118025598882	2.77657232859934
r=0.2	br=0.7	n=100	Lipsey (r)	0.995844504021448	-0.0494210255802355	0.775310926181784
r=0.2	br=0.7	n=100	Tetrachoric (r)	0.929333333333333	0.162827295838935	0.919582187559988
r=0.2	br=0.7	n=100	Cooper (z)	1	0.0863892002796216	2.82095670392288
r=0.2	br=0.7	n=100	Lipsey (z)	0.997453083109919	-0.0517656531440862	0.780778009656178
r=0.2	br=0.7	n=100	Tetrachoric (z)	0.9916	0.190794937485658	0.920808405750862
r=0.2	br=0.7	n=300	Cooper (r)	1	0.0738847096707346	5.06041576901203
r=0.2	br=0.7	n=300	Lipsey (r)	0.942133333333333	-0.053052135310984	0.790575663893358
r=0.2	br=0.7	n=300	Tetrachoric (r)	0.685866666666667	0.16329040500831	0.941886829984457
r=0.2	br=0.7	n=300	Cooper (z)	1	0.0797223031537332	5.25462377526276
r=0.2	br=0.7	n=300	Lipsey (z)	0.969466666666667	-0.0550145357005204	0.792064935968737
r=0.2	br=0.7	n=300	Tetrachoric (z)	0.782666666666667	0.182197358448307	0.93944761018228
r=0.3	br=0.3	n=25	Cooper (r)	1	0.0239367384142391	1.77998279604323
r=0.3	br=0.3	n=25	Lipsey (r)	0.994507815800591	0.119078038740441	0.37476932608742
r=0.3	br=0.3	n=25	Tetrachoric (r)	0.9872	0.151556653314172	0.934353994640062
r=0.3	br=0.3	n=25	Cooper (z)	1	0.0287050339308771	1.85888694083064
r=0.3	br=0.3	n=25	Lipsey (z)	0.994507815800591	0.164236033592753	
r=0.3	br=0.3	n=25	Tetrachoric (z)	1	0.225874200090138	0.940727057564896
r=0.3	br=0.3	n=50	Cooper (r)	1	0.0254952019071366	2.63323246710458
r=0.3	br=0.3	n=50	Lipsey (r)	0.985495458858615	0.0980397080784569	0.480157958007407
r=0.3	br=0.3	n=50	Tetrachoric (r)	0.9664	0.161586293698801	0.963689354782628
r=0.3	br=0.3	n=50	Cooper (z)	1	0.0302469111047743	2.74286857214602
r=0.3	br=0.3	n=50	Lipsey (z)	0.985495458858615	0.142271858509125	
r=0.3	br=0.3	n=50	Tetrachoric (z)	1	0.21468144770205	0.944829548993351
r=0.3	br=0.3	n=75	Cooper (r)	1	0.0251403059998791	3.33900440664138
r=0.3	br=0.3	n=75	Lipsey (r)	0.983562742215689	0.0911474874790692	0.52665479889985
r=0.3	br=0.3	n=75	Tetrachoric (r)	0.947466666666667	0.163860702857628	0.97902316524263
r=0.3	br=0.3	n=75	Cooper (z)	1	0.0290165241236005	3.51337125751526
r=0.3	br=0.3	n=75	Lipsey (z)	0.983562742215689	0.122578578519815	
r=0.3	br=0.3	n=75	Tetrachoric (z)	0.9968	0.208501517634148	0.96341561026231
r=0.3	br=0.3	n=100	Cooper (r)	1	0.024368579801694	3.92189578110288
r=0.3	br=0.3	n=100	Lipsey (r)	0.977703604806408	0.0888171242156709	0.525164739867836
r=0.3	br=0.3	n=100	Tetrachoric (r)	0.9248	0.164896835258261	0.987715181198112
r=0.3	br=0.3	n=100	Cooper (z)	1	0.0277725288194408	4.15643851058675
r=0.3	br=0.3	n=100	Lipsey (z)	0.977703604806408	0.114477159140253	
r=0.3	br=0.3	n=100	Tetrachoric (z)	0.992266666666667	0.205929338511718	0.97336216991107
r=0.3	br=0.3	n=300	Cooper (r)	1	0.0239006651650998	6.81885150196393
r=0.3	br=0.3	n=300	Lipsey (r)	0.932133333333333	0.0808225930252613	0.553197034109112
r=0.3	br=0.3	n=300	Tetrachoric (r)	0.362133333333333	0.166586848503288	0.970363283350563
r=0.3	br=0.3	n=300	Cooper (z)	1	0.0267065872431094	7.38780810972036
r=0.3	br=0.3	n=300	Lipsey (z)	0.932133333333333	0.0949180083524308	0.542937195761638
r=0.3	br=0.3	n=300	Tetrachoric (z)	0.500666666666667	0.200028753985068	0.96536673596974
r=0.3	br=0.5	n=25	Cooper (r)	1	0.0385744290005305	1.81689223948586
r=0.3	br=0.5	n=25	Lipsey (r)	0.999457406402604	0.0304960808843663	0.462822886570556
