"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.3,0.5,"phi (r)","own",300,300,0,-0.0122779191782029,0.00743131124556919,0.128714086441838,0.00526351041484853,0.135695960912907,1.05424328186662,0.0431112137551199,0.129084619382306,0.976430976430976,0.00880264818912485,0.531802455794149,"03a_2x2_to_cor_CAT",300
0.5,50,0.3,0.5,"phi (r)","own",300,300,0,0.00496869629714019,0.0062116941798568,0.107589699205919,0.00439966998139452,0.130563621441073,1.21353273040743,0.0496250437060391,0.107525095552291,0.979674796747967,0.00899685793499171,0.522321540019008,"03a_2x2_to_cor_CAT",300
0,100,0.3,0.5,"phi (r)","own",300,300,0,0.00484598339605428,0.00587349415133064,0.101731902880633,0.00416012687606289,0.0986648813024155,0.969851919689182,0.0396601943210899,0.101677754131588,0.949832775919732,0.0126240299747679,0.385817376562247,"03a_2x2_to_cor_CAT",300
0.1,100,0.3,0.5,"phi (r)","own",300,300,0,6.75537369712532e-05,0.0058766198899473,0.101786042261586,0.00416234079998818,0.0983211124858508,0.965958694347993,0.0395009884975691,0.101616279706815,0.953177257525084,0.0122174245409932,0.384603420817438,"03a_2x2_to_cor_CAT",300
0.25,100,0.3,0.5,"phi (r)","own",300,300,0,0.00100334433186504,0.00576827288475511,0.0999094170831774,0.00408559988961563,0.0967159588139646,0.968036463804466,0.0395859548091525,0.0997478087462355,0.946666666666667,0.0129729062394013,0.379053107056233,"03a_2x2_to_cor_CAT",300
0.5,100,0.3,0.5,"phi (r)","own",300,300,0,-0.000408531378817134,0.00443995000667663,0.076902189946297,0.00314476440688487,0.0955220216856734,1.24212355659025,0.0507942095335135,0.0767749995790428,0.97923875432526,0.00838729809812193,0.37820661695922,"03a_2x2_to_cor_CAT",300
0,300,0.3,0.5,"phi (r)","own",300,300,0,0.000129154329863912,0.00340844398563169,0.0590359815786664,0.00241416081549496,0.0574705807407636,0.973483953412092,0.0398087192250541,0.0589376476574556,0.933333333333333,0.0144016459964619,0.225079064570426,"03a_2x2_to_cor_CAT",300
0.1,300,0.3,0.5,"phi (r)","own",300,300,0,-0.000114588954650841,0.0033579169304927,0.0581608273120909,0.00237837309618577,0.0572613560749914,0.984534758553674,0.0402606202528523,0.0580639247566275,0.943333333333333,0.0133486023682326,0.224283826400972,"03a_2x2_to_cor_CAT",300
0.25,300,0.3,0.5,"phi (r)","own",300,300,0,-0.000381560773085083,0.0031172816661288,0.0539929022723804,0.00220793396662914,0.0562625852001346,1.04203669060619,0.0426120491181699,0.0539041894423095,0.97,0.00984885780179611,0.220512048716439,"03a_2x2_to_cor_CAT",300
0.5,300,0.3,0.5,"phi (r)","own",300,300,0,0.000603503117581641,0.00257393952926831,0.0445819404030263,0.00182309111700467,0.0548446836446509,1.23019956396801,0.0503066012142633,0.0445116665764335,0.99,0.00574456264653803,0.215682672169917,"03a_2x2_to_cor_CAT",300
0,25,0.5,0.5,"phi (r)","own",300,300,0,-0.0176250115723543,0.0117073575561981,0.202777381097104,0.00829218376018703,0.188908248043299,0.931604141552832,0.0380961263613917,0.203204933740737,0.966442953020134,0.0104321025533726,0.736471464600904,"03a_2x2_to_cor_CAT",300
0.1,25,0.5,0.5,"phi (r)","own",300,300,0,0.00584772105512067,0.0125577686641754,0.217506933560482,0.00889451995306424,0.187239302958803,0.86084291610289,0.0352024846674695,0.217222845102902,0.962837837837838,0.0109946448674865,0.731722240519767,"03a_2x2_to_cor_CAT",300
0.25,25,0.5,0.5,"phi (r)","own",300,300,0,-0.00608219516467421,0.0114745450854278,0.198744950817008,0.00812728542339132,0.183565581524248,0.923623874567075,0.0377697889763085,0.19850663310922,0.949152542372881,0.0127906207267745,0.721704840581103,"03a_2x2_to_cor_CAT",300
0.5,25,0.5,0.5,"phi (r)","own",300,300,0,-0.00796027825062026,0.0107540265947753,0.186265204480977,0.00761695064473406,0.166825481320931,0.895634167346423,0.0366252047312031,0.186124805821702,0.953900709219858,0.0124874612529957,0.676076497674443,"03a_2x2_to_cor_CAT",300
0.75,25,0.5,0.5,"phi (r)","own",300,300,0,0.00743106214386878,0.00784612819921379,0.135898926837372,0.0055573203877609,0.136847917454169,1.00698306188932,0.0411785996416601,0.135875594837399,0.94475138121547,0.0169816620149407,0.598277193106031,"03a_2x2_to_cor_CAT",300
0,50,0.5,0.5,"phi (r)","own",300,300,0,0.000969066590204082,0.00898592576094254,0.155640799709945,0.00636462560466394,0.136994697910831,0.880197854072563,0.0359939669395218,0.155384203710114,0.935153583617747,0.0143863509764825,0.534883396514068,"03a_2x2_to_cor_CAT",300
0.1,50,0.5,0.5,"phi (r)","own",300,300,0,-0.000624577341432119,0.00780118718970151,0.135120525719185,0.00552548919891617,0.136727473455621,1.01189269896548,0.0413793696319378,0.13489658278072,0.972881355932203,0.00945698974066197,0.533976507275556,"03a_2x2_to_cor_CAT",300
0.25,50,0.5,0.5,"phi (r)","own",300,300,0,0.00472773223113644,0.00777358435693013,0.134642430631256,0.00550593843688099,0.132984002649925,0.987682723985626,0.040389350132345,0.134500955255298,0.956666666666667,0.0117552194868996,0.52134237739756,"03a_2x2_to_cor_CAT",300
0.5,50,0.5,0.5,"phi (r)","own",300,300,0,-0.00880243318188625,0.00759006900629236,0.131463851518522,0.0053759566708848,0.12008291759571,0.913429176223332,0.0373528967588994,0.131539415912058,0.949832775919732,0.0126240299747679,0.478526860911307,"03a_2x2_to_cor_CAT",300
0.75,50,0.5,0.5,"phi (r)","own",300,300,0,-0.00127498365331269,0.00547057189183785,0.0947530846312134,0.0038747417752196,0.0930151941196942,0.981658744743949,0.0401430113021989,0.0946036229413142,0.968421052631579,0.0103587775224556,0.394802335585586,"03a_2x2_to_cor_CAT",300
0,100,0.5,0.5,"phi (r)","own",300,300,0,-0.00795640663085096,0.00551992680644312,0.0956079368282089,0.00390969928116496,0.0985557910074484,1.03083273499078,0.0421538853017655,0.0957794988453884,0.959459459459459,0.011463367788664,0.385373492958669,"03a_2x2_to_cor_CAT",300
0.1,100,0.5,0.5,"phi (r)","own",300,300,0,-0.00884988177183742,0.00550278954003647,0.0953111106670174,0.00389756115678386,0.0981589311475162,1.02987920779192,0.0421148926749228,0.0955627936554494,0.956666666666667,0.0117552194868996,0.383922062485172,"03a_2x2_to_cor_CAT",300
0.25,100,0.5,0.5,"phi (r)","own",300,300,0,0.00573342760765538,0.0054218367381741,0.0939089670086107,0.00384022323866506,0.0953181377240199,1.01500570989435,0.0415066701155025,0.0939274718234295,0.976666666666667,0.0087156734084615,0.373528796056882,"03a_2x2_to_cor_CAT",300
