"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,50,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,992,992,820,0.00800000000000001,0.0178747186974954,0.00476578680196226,0.15010337121805,0.00337161999909187,1344.65126169795,8958.16829952891,201.218261447619,0.151088764955229,0.969512195121951,0.00600389087579847,0.567737876003076,"09b_or_to_cor_CAT",1000
0,100,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00383808769790172,0.00544601504234321,0.172218117053429,0.00385284106926554,0.163116759623141,0.947152148763398,0.0211895633283843,0.172174770738235,0.949,0.00695693898205238,0.618637700764647,"09b_or_to_cor_CAT",1000
0.1,100,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00475582262125894,0.00514741133281458,0.162775438654571,0.00364159070977114,0.160623492041884,0.986779660184156,0.0220761048031545,0.162763526118611,0.957,0.00641490451994416,0.60988526308271,"09b_or_to_cor_CAT",1000
0.25,100,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00779746986709799,0.00446382076776533,0.141158406929,0.00315797731849212,0.144665805097126,1.02484724958599,0.0229277479076359,0.14130311633936,0.958,0.00634318531969546,0.553933678957601,"09b_or_to_cor_CAT",1000
0.5,100,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,994,994,964,0.00600000000000001,0.00384719064769051,0.00313644641808715,0.0988851473009496,0.00221891896834513,107.072074759196,1082.7922866245,24.2971609907875,0.098910241817906,0.962655601659751,0.0061067436240342,0.376363588803456,"09b_or_to_cor_CAT",1000
0,300,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00470882145529058,0.00306173266879322,0.0968204881993251,0.00216605523079183,0.0950111139920288,0.981312073085489,0.0219537846635318,0.0968865611306248,0.95,0.00689202437604511,0.368172417557491,"09b_or_to_cor_CAT",1000
0.1,300,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.000953962256004154,0.0029133108916133,0.0921269794967397,0.0020610526712605,0.0932643176674965,1.01234533224653,0.0226480566568305,0.0920858458984191,0.961,0.00612200947402077,0.36159916591708,"09b_or_to_cor_CAT",1000
0.25,300,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00395231018478391,0.00265322950793671,0.0839024840024779,0.00187705533952536,0.0845534532378727,1.00775864079752,0.0225454437988503,0.0839536059425741,0.956,0.00648567652600714,0.32870920411008,"09b_or_to_cor_CAT",1000
0.5,300,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00131476222941606,0.00163764615662621,0.0517869185635966,0.00115857013249445,0.0532425913193261,1.02810888919644,0.0230007168801186,0.0517777138264927,0.956,0.00648567652600714,0.21020317885147,"09b_or_to_cor_CAT",1000
0,25,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,993,993,970,0.00700000000000001,-0.00275858690464584,0.0106649362126483,0.336072430242229,0.00754504879206596,1842.93782226963,5483.75188331071,123.113864155239,0.335914494040088,0.975257731958763,0.00498762264024218,1.11750731314586,"09b_or_to_cor_CAT",1000
0.1,25,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,986,986,945,0.014,-0.00963964653870138,0.0113226987897908,0.355539953836344,0.00801042020526694,1592.67622053556,4479.5984342977,100.926676235374,0.355490334680785,0.974603174603175,0.00511785200649757,1.10912630485898,"09b_or_to_cor_CAT",1000
0.25,25,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,985,985,893,0.015,0.00647759485649858,0.0105624579357215,0.331499675534123,0.00747257978328062,2554.91118986518,7707.13028828348,173.732133784272,0.331394671949791,0.976483762597984,0.00507096603288592,1.05142934112469,"09b_or_to_cor_CAT",1000
0.5,25,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,943,942,577,0.0570000000000001,0.0286417162699985,0.00699650544218065,0.214850823511391,0.00494990168914807,3647.5627248453,16977.18754451,391.133754714689,0.216638577326412,0.963604852686308,0.0077962063126567,0.885692853731254,"09b_or_to_cor_CAT",1000
0,50,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,999,0,0.00021491284717322,0.00759703803373752,0.240239436575377,0.00537460508529232,375.150024105094,1561.56719917793,34.9351760450623,0.240119382988338,0.954954954954955,0.00656193934823729,0.841872534080635,"09b_or_to_cor_CAT",1000
0.1,50,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,997,0,-0.000923593867074292,0.00753329342380912,0.238223655016049,0.00532950828530795,754.700566240802,3168.03369585593,70.874833269859,0.238106304672992,0.954864593781344,0.00657479163008761,0.831710027040033,"09b_or_to_cor_CAT",1000
0.25,50,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,997,0,0.00586479788160262,0.00635067719227023,0.20082604612057,0.00449285389661705,376.644141163414,1875.47456338053,41.957870320424,0.200811268493113,0.974924774322969,0.00495176925862353,0.765749132789564,"09b_or_to_cor_CAT",1000
0.5,50,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,985,985,834,0.015,0.0089268863747037,0.00482029678736505,0.151283615112502,0.00341019604924145,1213.99398726541,8024.62306550929,180.88897369554,0.151470083649334,0.965227817745803,0.00634377634504247,0.571816421624467,"09b_or_to_cor_CAT",1000
0,100,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00911878437201916,0.00535437694261733,0.169320265897595,0.00378801072425398,0.163507903885347,0.965672378427734,0.0216038954711568,0.169481076582644,0.947,0.00708456067798138,0.619966122922581,"09b_or_to_cor_CAT",1000
0.1,100,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.0118574697558442,0.00524131269512651,0.165744860457555,0.00370802222388971,0.160860443513974,0.970530507370808,0.0217125808930619,0.166085782047522,0.948,0.00702111102319284,0.610592149130211,"09b_or_to_cor_CAT",1000
