r	n	method	bias_ci	bias_es	bias_var	br
r=0.2	n=300	Cooper (r)	1	-0.0608218200432936	6.86272144891723	br=
r=0.2	n=300	Lipsey (r)	0.716742448115968	-0.0731092909603365	0.787451967932526	br=
r=0.2	n=300	Tetrachoric (r)	0.983866666666667	-0.00154735678315597	1.01051793519327	br=
r=0.2	n=300	Cooper (z)	1	-0.0626638101739299	6.80236178716685	br=
r=0.2	n=300	Lipsey (z)	0.734614865169045	-0.0751391887221386	0.792874831493095	br=
r=0.2	n=300	Tetrachoric (z)	0.987022222222222	-0.000366078051103523	1.0101659037684	br=
r=0.3	n=25	Cooper (r)	0.994533333333333	-0.091741667988182	1.82855028035243	br=
r=0.3	n=25	Lipsey (r)	0.907852887156744	-0.0747341841422247	0.58873163139792	br=
r=0.3	n=25	Tetrachoric (r)	0.953688888888889	-0.0158745935080419	0.946742061748519	br=
r=0.3	n=25	Cooper (z)	0.996977777777778	-0.0991077521841455	1.79291799228335	br=
r=0.3	n=25	Lipsey (z)	0.927832280607445	-0.0780772163435084		br=
r=0.3	n=25	Tetrachoric (z)	0.9908	0.00488344103934715	0.951992771001752	br=
r=0.3	n=50	Cooper (r)	0.999022222222222	-0.0886096118842783	2.52372844465844	br=
r=0.3	n=50	Lipsey (r)	0.856552092133932	-0.0912186569190811	0.672473203912419	br=
r=0.3	n=50	Tetrachoric (r)	0.965644444444444	-0.00668862065146836	0.957056754821663	br=
r=0.3	n=50	Cooper (z)	0.999377777777778	-0.0943099577512668	2.47015842514714	br=
r=0.3	n=50	Lipsey (z)	0.880964026857575	-0.0916457176075348		br=
r=0.3	n=50	Tetrachoric (z)	0.988888888888889	0.00577031174916901	0.945894211395704	br=
r=0.3	n=75	Cooper (r)	0.999555555555555	-0.0879545629748009	3.18526727403839	br=
r=0.3	n=75	Lipsey (r)	0.827480440967283	-0.0934545228910637	0.687866118140224	br=
r=0.3	n=75	Tetrachoric (r)	0.9708	-0.00280870318727138	0.967188701451841	br=
r=0.3	n=75	Cooper (z)	0.999866666666667	-0.0939401095328336	3.14206851026557	br=
r=0.3	n=75	Lipsey (z)	0.854596372688478	-0.0976879026895714		br=
r=0.3	n=75	Tetrachoric (z)	0.986933333333333	0.00548110914542892	0.955945725261304	br=
r=0.3	n=100	Cooper (r)	0.999822222222222	-0.0874999831381301	3.67265923986864	br=
r=0.3	n=100	Lipsey (r)	0.79083674502047	-0.0960668227894325	0.692405645523526	br=
r=0.3	n=100	Tetrachoric (r)	0.971911111111111	-0.00125675149886737	0.975879102859755	br=
r=0.3	n=100	Cooper (z)	0.999955555555556	-0.0934776017392466	3.63118268601617	br=
r=0.3	n=100	Lipsey (z)	0.822392934357606	-0.101167239153039		br=
r=0.3	n=100	Tetrachoric (z)	0.985288888888889	0.00512687771026449	0.961893782889026	br=
r=0.3	n=300	Cooper (r)	1	-0.0897163025995807	6.493534055624	br=
r=0.3	n=300	Lipsey (r)	0.550051140659048	-0.102431999108885	0.611542421650011	br=
r=0.3	n=300	Tetrachoric (r)	0.980177777777778	-0.00211661795298429	0.987228774613484	br=
r=0.3	n=300	Cooper (z)	1	-0.0960048712278438	6.5852587936697	br=
r=0.3	n=300	Lipsey (z)	0.594298928269667	-0.108793894276238	0.612236469873271	br=
r=0.3	n=300	Tetrachoric (z)	0.986133333333333	-0.000295750919971743	0.984643848260721	br=
r=0.5	n=25	Cooper (r)	0.995422222222222	-0.149808500153264	1.88829619200347	br=
