"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,1.15974738570414,0.017982571294856,0.568658834781083,0.0127219606771425,1.38245993064727,2.43108845953212,0.054387991345864,1.29153532516606,0.998,0.00141279864099595,5.40218103357965,"05_rr_to_or",1000
0.5,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.536657443977704,0.0186005569621319,0.588201257480391,0.0131591611880823,1.37844450053629,2.34349125066643,0.0524282781075288,0.796012531785081,1,0,5.38662786154915,"05_rr_to_or",1000
0.75,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.151691953478449,0.0202332774750898,0.639832413514647,0.014314246621752,1.36674221447649,2.13609405464295,0.0477884153093431,0.657256860456171,0.999,0.000999499874937461,5.33944441569483,"05_rr_to_or",1000
1,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0921585136795322,0.0203587134261544,0.643799046572979,0.014402987614949,1.36229465321965,2.11602465159169,0.0473394252632637,0.650043019191445,1,0,5.32209188960316,"05_rr_to_or",1000
2,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.639170756373667,0.021106348714685,0.667441350281721,0.0149319101247267,1.35018657322958,2.02292916472688,0.0452567052725165,0.923889459791109,0.986,0.00371537346709587,5.27414402411463,"05_rr_to_or",1000
0.25,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.968045587251913,0.0223107642828946,0.705528314730801,0.0157839866852174,1.32385615113295,1.87640399894946,0.041978663530758,1.1976580028046,0.995,0.00223047080231955,5.16370162785677,"05_rr_to_or",1000
0.5,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.360858020045599,0.0235405056877775,0.744416152455254,0.0166539802773157,1.31530002257135,1.76688807494732,0.0395285876795448,0.826933953384113,1,0,5.13157749435899,"05_rr_to_or",1000
0.75,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.0973194636985386,0.0247060918429341,0.781275223049787,0.0174785865579517,1.30607516774382,1.67172224231741,0.0373995501855764,0.7869254483062,1,0,5.09685383194881,"05_rr_to_or",1000
1,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0853445317826603,0.0253327049038242,0.801090467890014,0.017921890609954,1.29993467163755,1.62270645294463,0.0363029753909552,0.805225360325728,1,0,5.07205475786454,"05_rr_to_or",1000
2,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.462163154382051,0.025286686644714,0.799635242762571,0.0178893345047545,1.27709913681722,1.59710211421536,0.035730158491692,0.923239885519931,0.966,0.00573096850453743,4.98246002782752,"05_rr_to_or",1000
0.25,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.567866587641022,0.0273712751286279,0.865555718695825,0.019364098724261,1.21520471393864,1.40395896842972,0.0314091854311214,1.03484780370059,0.983,0.00408790900094413,4.735500393537,"05_rr_to_or",1000
0.5,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.0826220091313769,0.0287811414277109,0.910139605709967,0.0203615235820783,1.2107199594603,1.33025741530703,0.0297603439758889,0.913428784401345,1,0,4.71335786232136,"05_rr_to_or",1000
0.75,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0243106046258274,0.03096553060149,0.979216056563522,0.0219068928575135,1.19245047097251,1.21776033284964,0.0272435740397161,0.979028205336116,0.996,0.00199599599197994,4.63244980119333,"05_rr_to_or",1000
1,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.085827718401531,0.0298813368345654,0.944930839279126,0.0211398684846885,1.16863828258049,1.23674477962009,0.0276682915865453,0.948350037684264,0.987,0.00358203852575597,4.53723936772275,"05_rr_to_or",1000
2,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.104439737742235,0.027878076444631,0.881582183493228,0.0197226406873427,1.07857219373879,1.2234505346569,0.0273708744863271,0.887309200857346,0.98,0.00442718872423573,4.16996086067355,"05_rr_to_or",1000
0.25,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.593272408793555,0.028914246705771,0.914348764182568,0.020455690321953,1.25808120905079,1.3759314370327,0.0307821571841277,1.08957320999341,0.99,0.00314642654451046,4.9060803536093,"05_rr_to_or",1000
0.5,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.148158043665043,0.0306675944180106,0.969794487191795,0.0216961147463984,1.26232714440877,1.30164396795454,0.0291202076941833,0.980567005330519,0.997,0.00172945077987204,4.922068180992,"05_rr_to_or",1000
0.75,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0231185053466159,0.0326044475220105,1.03104316020986,0.023066362005395,1.24128562655167,1.20391238161069,0.0269337694955051,1.03078679342858,0.982,0.00420428352992517,4.83659975300174,"05_rr_to_or",1000
1,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.146482157302431,0.0331285225464281,1.04761586762954,0.0234371244365953,1.22939435724136,1.17351635769238,0.0262537536452649,1.05728829063367,0.964,0.00589101010014412,4.78753548078941,"05_rr_to_or",1000
2,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.192530176944976,0.0309546461406995,0.978871859691514,0.0218991925303524,1.151104493361,1.17595013276178,0.0263082017410934,0.997145825149307,0.967,0.00564898220921256,4.46968927718965,"05_rr_to_or",1000
0.25,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,0.279032765821863,0.0302956256651482,0.958031802417219,0.0214329615093307,1.15949449389518,1.21028810418365,0.0270764063225454,0.997379764137283,0.974,0.00503229569878401,4.51440848955264,"05_rr_to_or",1000
0.5,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0256529490127152,0.0320209148442527,1.01259023670134,0.0226535356270903,1.12739045509988,1.11337282766276,0.0249082304998875,1.01240887109333,0.986,0.00371537346709587,4.37282320858931,"05_rr_to_or",1000
0.75,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,0,-0.0427592397823308,0.0320104901287675,1.01226057825242,0.0226461605516187,1.08289371827098,1.06977762597502,0.0239329243801874,1.01265747387377,0.987,0.00358203852575597,4.18483451601791,"05_rr_to_or",1000
