"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"cont_kurt8",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-1.48330986707822e-16,0.00665904999203503,0.210577650277568,0.00471101550255103,0.103114704148291,0.489675442822981,0.0109549546180084,0.210472335117054,0.671,0.0148579608291313,0.404202212814306,"11a_alpha_vs_omega",1000
"cont_normal",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,8.75010242214202e-17,0.00314215299255763,0.0993636021319621,0.00222294944129145,0.103114704148291,1.03775126843074,0.0232164349204442,0.0993139079042318,0.958,0.00634318531969546,0.404202212814306,"11a_alpha_vs_omega",1000
"lik5_sev",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.07695807567004e-16,0.00416784770846493,0.131798916994626,0.00294858804038647,0.103114704148291,0.782363819821791,0.0175029405017923,0.131733001053022,0.874,0.010493998284734,0.404202212814306,"11a_alpha_vs_omega",1000
"lik5_skew",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-9.85916331756355e-17,0.00324870289327799,0.102733005839374,0.00229832929798111,0.103114704148291,1.00371543989976,0.0224549898400176,0.102681626488403,0.958,0.00634318531969546,0.404202212814306,"11a_alpha_vs_omega",1000
"lik5_sym",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.14949165779944e-16,0.00297844809476663,0.0941867987205158,0.00210713467608329,0.103114704148291,1.09478934998383,0.024492483380849,0.0941396935419154,0.972,0.0052168956286282,0.404202212814306,"11a_alpha_vs_omega",1000
"lik7_skew",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-9.19174946659856e-17,0.00341899154185947,0.108118005731268,0.00241880180747351,0.103114704148291,0.953723697092478,0.0213365811434907,0.10806393320689,0.94,0.00750999334220744,0.404202212814306,"11a_alpha_vs_omega",1000
"bin_10",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,3.50848432880031e-17,0.00235879089247292,0.0745915174427574,0.00166875161997697,0.0459290988605156,0.615741580746929,0.0137752896788452,0.0745542123554315,0.777,0.0131632442809514,0.18003875921798,"11a_alpha_vs_omega",1000
"cont_kurt8",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.35448496494349e-16,0.00297749491778043,0.0941566566176194,0.00210646034092076,0.0459290988605156,0.48779449600721,0.0109128743231771,0.09410956651384,0.659,0.0149906304070242,0.180038759217981,"11a_alpha_vs_omega",1000
"cont_normal",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.08713780172577e-17,0.00142583034301379,0.0450887144090273,0.00100871878991448,0.0459290988605156,1.01863846557843,0.0227888458082295,0.0450661644129137,0.957,0.00641490451994416,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_sev",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-7.46120016898583e-17,0.00181521705006363,0.0574022032577295,0.00128419454330171,0.0459290988605156,0.800127804403239,0.0179003540290112,0.0573734949772354,0.88,0.0102761860629321,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_skew",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.70846628409654e-17,0.00149451942768315,0.0472608539885007,0.0010573136109656,0.0459290988605156,0.971821179356827,0.021741455637019,0.0472372176509441,0.939,0.00756828910652864,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_sym",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,2.97673669567844e-17,0.00140177255517765,0.0443279403587542,0.000991698852898134,0.0459290988605156,1.03612075112904,0.0231799572017719,0.0443057708448101,0.953,0.00669260786241059,0.180038759217981,"11a_alpha_vs_omega",1000
"lik7_skew",1000,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.18492877192581e-16,0.00145539225625475,0.0460235441873646,0.001029632678792,0.0459290988605156,0.997947891051926,0.0223259589955855,0.0460005266594496,0.954,0.00662449998113065,0.180038759217981,"11a_alpha_vs_omega",1000
"bin_10",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,4.41472894482584e-17,0.00561621048340882,0.177600169464872,0.00397324763811285,0.123091490979333,0.693082058143416,0.0155055406694384,0.177511347169011,0.843,0.0115043904662524,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_kurt8",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,-9.25311259905581e-17,0.00594840918531708,0.188105214802686,0.00420826513107191,0.123091490979333,0.654375749808161,0.0146396082289655,0.188011138670369,0.784,0.0130132240432569,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_normal",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,4.18999484088668e-17,0.00360663672948201,0.114051867579837,0.00255155338448919,0.123091490979333,1.07925888099261,0.0241450377707235,0.113994827382431,0.96,0.00619677335393187,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sev",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,3.20805393968365e-17,0.00461806789429708,0.146036129352765,0.00326710108317089,0.123091490979333,0.842883822824371,0.0188568860510174,0.145963093024439,0.904,0.00931579304192617,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_skew",200,3,"congeneric","omega","centred",1000,999,999,999,0.001,-9.74719255322269e-17,0.00382529839812938,0.1209060582721,0.00270624925561473,0.123091490979333,1.01807546072104,0.0227876584276315,0.120845529578308,0.94994994994995,0.0068987415646053,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sym",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,1.03367049078193e-16,0.00356883038551485,0.112856326010437,0.00252480688570377,0.123091490979333,1.09069199158538,0.0244008178175324,0.112799883733333,0.972,0.0052168956286282,0.482509778245658,"11a_alpha_vs_omega",1000
"lik7_skew",200,3,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.69846640007618e-17,0.0037686552379794,0.119175342679388,0.00266617509571592,0.123091490979333,1.03286039051283,0.0231070168427802,0.119115740103677,0.949,0.00695693898205238,0.482509778245658,"11a_alpha_vs_omega",1000
"bin_10",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,4.28652373199532e-18,0.00295156782348844,0.0933367699068931,0.00208811794323765,0.0548271103018215,0.587411695910556,0.0131414972204636,0.0932900898490063,0.735,0.0139561814261638,0.21491832313595,"11a_alpha_vs_omega",1000
"cont_kurt8",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.25428503304145e-17,0.00276487761064616,0.0874331070124609,0.00195604197325296,0.0548271103018215,0.627074939633651,0.0140288380936031,0.0873893795243483,0.788,0.0129250145067617,0.21491832313595,"11a_alpha_vs_omega",1000
"cont_normal",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,-2.01095211679321e-18,0.00167793069924077,0.0530608276551981,0.0011870698591818,0.0548271103018215,1.03328788344767,0.0231165806585063,0.0530342906054486,0.952,0.00675988165576884,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_sev",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,3.53033845646583e-17,0.00218082897108252,0.0689638673590224,0.00154285057229949,0.0548271103018215,0.795012118685199,0.0177859065808034,0.0689293768005465,0.879,0.0103130499853341,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_skew",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,-6.01743030810521e-17,0.00185089434451281,0.0585304183698486,0.0013094348234378,0.0548271103018215,0.936728488003858,0.0209563665605089,0.0585011458407009,0.933,0.00790638982089803,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_sym",1000,3,"congeneric","omega","centred",1000,1000,1000,1000,0,9.75906502961518e-17,0.00168445225783416,0.0532670574456914,0.00119168360493697,0.0548271103018215,1.02928738569275,0.0230270820487702,0.0532404172552551,0.958,0.00634318531969546,0.21491832313595,"11a_alpha_vs_omega",1000
