"rho","n","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,300,0.3,"viechtbauer","own",1000,1000,0,-0.00168759308815807,0.00245561732993785,0.0776534382438478,0.00173725250951822,0.0754839013052228,0.972061289394396,0.0217468273472067,0.0776329465179005,0.937,0.00768316341099159,0.294213633242577,"01a_smd_to_cor_r",1000
0.25,300,0.3,"viechtbauer","own",1000,1000,0,0.00429690632489242,0.00229690034253717,0.072634366408384,0.00162496649438737,0.0723499731144112,0.996084590421373,0.0222842734788895,0.0727250908306668,0.94,0.00750999334220744,0.282033038300776,"01a_smd_to_cor_r",1000
0.5,300,0.3,"viechtbauer","own",1000,1000,0,0.00181189131881379,0.00199218444508792,0.0629984036563648,0.00140939200275955,0.0616966612773726,0.979336898977745,0.0219095963281146,0.0629929600395014,0.949,0.00695693898205238,0.24050664290593,"01a_smd_to_cor_r",1000
0.75,300,0.3,"viechtbauer","own",1000,1000,0,0.000415376757816592,0.00136930898685938,0.043301352190132,0.000968732157378738,0.0440401279374804,1.01706126275467,0.0227535608340473,0.0432816893413749,0.951,0.00682634602111555,0.171346258232019,"01a_smd_to_cor_r",1000
0,25,0.5,"viechtbauer","own",1000,1000,0,0.0136266822075092,0.00805478048380317,0.25471452381491,0.00569843983364446,0.246228626512787,0.966684674375735,0.0216265424229957,0.254951555440634,0.94,0.00750999334220744,0.910097627152291,"01a_smd_to_cor_r",1000
0.1,25,0.5,"viechtbauer","own",1000,1000,0,-0.00441194247627513,0.00780722319048578,0.246886074832217,0.00552330280238883,0.245661750827219,0.995040935355184,0.0222609249649819,0.246802038987782,0.949,0.00695693898205238,0.907830953219858,"01a_smd_to_cor_r",1000
0.25,25,0.5,"viechtbauer","own",1000,1000,0,-0.00861243229443988,0.00786564722861572,0.248733605138168,0.00556463550745652,0.236437046086792,0.950563338457845,0.0212658780156814,0.24875834038024,0.928,0.00817410545564467,0.87557440279047,"01a_smd_to_cor_r",1000
0.5,25,0.5,"viechtbauer","own",1000,1000,0,-0.00208825022341946,0.00670192396481904,0.211933444340944,0.00474134714905962,0.203615975039821,0.96075433338524,0.0214938696141539,0.211837744121252,0.934,0.00785136930732467,0.759314893292275,"01a_smd_to_cor_r",1000
0.75,25,0.5,"viechtbauer","own",1000,1000,0,0.0087213333919411,0.00461231727412626,0.145854278775782,0.00326303274597468,0.144850472935106,0.993117748419169,0.0222178996797348,0.146041976235258,0.913,0.00891240708226459,0.548113026591508,"01a_smd_to_cor_r",1000
0,50,0.5,"viechtbauer","own",1000,1000,0,-0.00393592711385843,0.00562317927479213,0.17782054199797,0.00397817778344591,0.175655063866626,0.987822114886093,0.0220994264626708,0.177775185370571,0.942,0.00739161687318817,0.667754689009664,"01a_smd_to_cor_r",1000
0.1,50,0.5,"viechtbauer","own",1000,1000,0,-0.00496189244552141,0.00549748132210928,0.173845623720991,0.00388925143442673,0.174619728808245,1.00445283045201,0.0224714866444912,0.173829511196156,0.952,0.00675988165576884,0.663963820091136,"01a_smd_to_cor_r",1000
0.25,50,0.5,"viechtbauer","own",1000,1000,0,0.00224096540517526,0.00540727219710551,0.170992960713563,0.0038254320327294,0.167368643326318,0.978804288947797,0.021897680846559,0.170922134163261,0.925,0.00832916562447884,0.637232605211049,"01a_smd_to_cor_r",1000
0.5,50,0.5,"viechtbauer","own",1000,1000,0,-0.00241906133277643,0.00466494852579223,0.147518625089482,0.00330026728285511,0.143293749414039,0.971360391456468,0.0217311469507024,0.147464690218623,0.941,0.00745110730026082,0.547751661183011,"01a_smd_to_cor_r",1000
0.75,50,0.5,"viechtbauer","own",1000,1000,0,0.00120031621617845,0.00325641810223375,0.102976982168617,0.0023037875043378,0.100753454771821,0.978407530013304,0.0218888046078475,0.102932479600551,0.932,0.00796090447122687,0.387442191750845,"01a_smd_to_cor_r",1000
0,100,0.5,"viechtbauer","own",1000,1000,0,-0.00535962499923331,0.00397395754242327,0.125667571588627,0.00281141838719164,0.124789285506073,0.993011036407789,0.022215512332648,0.12571901920778,0.947,0.00708456067798138,0.481536464957575,"01a_smd_to_cor_r",1000
