"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.8,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00204874021230689,0.00937437431169846,0.296443744639404,0.00663200047483519,0.286258873617934,0.965643157578318,0.0216032417461559,0.296302568633068,0.943,0.00733150734842434,1.13611562926788,"07b_ancova_to_smd_g",1000
0,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00261149717539997,0.00524364036442417,0.165818467823757,0.00370966895820755,0.161423605931386,0.973495944389965,0.0217789232601207,0.165756111273896,0.944,0.00727076337120113,0.635357514563083,"07b_ancova_to_smd_g",1000
0.3,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00582200532527932,0.00502130626597398,0.15878764629753,0.00355237634352567,0.162051067286243,1.02055210883722,0.0228316575835848,0.158814983065517,0.954,0.00662449998113065,0.63782309817228,"07b_ancova_to_smd_g",1000
0.8,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.000359980597882536,0.00532345266373295,0.168342354334866,0.003766133015361,0.165777876421074,0.984766294115796,0.0220310620422164,0.1682585471849,0.94,0.00750999334220744,0.652466518036737,"07b_ancova_to_smd_g",1000
0,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00410556682387729,0.00872168917767619,0.275804028454978,0.00617025145833264,0.27856707952607,1.01001816792369,0.0225959936426054,0.275696662890263,0.95,0.00689202437604511,1.10575021768021,"07b_ancova_to_smd_g",1000
0.3,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00302248845298286,0.00904748008637422,0.286106441579595,0.00640073569006275,0.280220529852187,0.979427545584393,0.0219116242620792,0.285979325221026,0.951,0.00682634602111555,1.11227999958509,"07b_ancova_to_smd_g",1000
0.8,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00322115842952558,0.00918371463054246,0.290414556135259,0.00649711626241575,0.289743855483157,0.997690540512061,0.0223202015831474,0.290287184805758,0.951,0.00682634602111555,1.14989735245558,"07b_ancova_to_smd_g",1000
0,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.0111395431617363,0.00499137067377431,0.157840999752961,0.00353119809150784,0.16141089492118,1.02261703343115,0.0228778538050773,0.158154850838232,0.946,0.00714730718522718,0.635307554189423,"07b_ancova_to_smd_g",1000
0.3,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00209404945701239,0.00491437033939199,0.155406035380534,0.00347672338874834,0.162305862223846,1.04439870579297,0.0233651505150214,0.155342427687968,0.961,0.00612200947402077,0.638825024193861,"07b_ancova_to_smd_g",1000
0.8,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00294308098359183,0.00544255641700684,0.172108745717068,0.00385039422811003,0.167754691160699,0.974701723969758,0.0218058988023284,0.172047844094676,0.948,0.00702111102319284,0.660233665500245,"07b_ancova_to_smd_g",1000
0,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00644416522841065,0.00867309941186545,0.274267485145616,0.00613587611346009,0.265792696714935,0.969100280238534,0.0216805840397233,0.274206050298282,0.949,0.00695693898205238,1.05504260892855,"07b_ancova_to_smd_g",1000
0.3,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0110817831520853,0.00831573491608826,0.262966627530281,0.00588305481287196,0.26656528728875,1.01368485344421,0.0226780242489273,0.263068625391331,0.96,0.00619677335393187,1.05809384527401,"07b_ancova_to_smd_g",1000
0.8,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.0102796542166386,0.00883652855470896,0.279435568419961,0.00625149579290766,0.271097625654639,0.970161483692043,0.0217043251438446,0.279484926162579,0.953,0.00669260786241059,1.07599024046028,"07b_ancova_to_smd_g",1000
0,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00255336690239652,0.0048634979605929,0.153797309510574,0.00344073318512157,0.153980914019395,1.00119380832737,0.0223985762300569,0.15374159646243,0.953,0.00669260786241059,0.60606334228311,"07b_ancova_to_smd_g",1000
0.3,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0017464363015747,0.00505577973244708,0.159877793026495,0.00357676496279955,0.154439171656302,0.96598263419053,0.0216108364722856,0.159807377283013,0.951,0.00682634602111555,0.607863902567665,"07b_ancova_to_smd_g",1000
0.8,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00641134993991789,0.00494051814422718,0.156232901571462,0.00349522193044477,0.157053475002526,1.00525224471165,0.0224893710351905,0.156286327687219,0.952,0.00675988165576884,0.618137059269967,"07b_ancova_to_smd_g",1000
0,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00382137752423864,0.00862737564504279,0.272821572681996,0.00610352834995115,0.265785010386361,0.974208189526725,0.0217948575146651,0.272711902630486,0.945,0.00720936890441875,1.0550122643606,"07b_ancova_to_smd_g",1000
0.3,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00477843793888602,0.00874107167073144,0.276416956702847,0.00618396380849829,0.266675668099197,0.964758715529446,0.0215834551249364,0.276320033815948,0.949,0.00695693898205238,1.05852897839071,"07b_ancova_to_smd_g",1000
0.8,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00362752857523937,0.00939118413070341,0.296975317790512,0.00664389275947371,0.271918056747806,0.915625105718781,0.0204842444669714,0.296848958227855,0.932,0.00796090447122687,1.07920804059931,"07b_ancova_to_smd_g",1000
