"rho","n","p_split","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,25,0.15,"cooper","own",1000,1000,0,0.0228558886260283,0.0134896460087902,0.426580062171768,0.0095433930586719,0.419915836006165,0.984377548890413,0.0220223650851513,0.426978887695765,0.966,0.00573096850453743,1.73615540370937,"02b_cor_to_smd_CONT",1000
0.25,25,0.15,"cooper","own",1000,1000,0,-0.00748664144617724,0.0142288636278025,0.449956175797822,0.0100663603989218,0.431144245294229,0.958191638396256,0.0214365373388365,0.449793451907212,0.953,0.00669260786241059,1.78040039980221,"02b_cor_to_smd_CONT",1000
0.5,25,0.15,"cooper","own",1000,1000,0,0.0523043890744963,0.0160103132085823,0.506290557917985,0.0113266657881447,0.487892350396303,0.96366077298115,0.0215588920986175,0.508733277881764,0.965,0.00581162627841812,2.00605691674872,"02b_cor_to_smd_CONT",1000
0.75,25,0.15,"cooper","own",1000,1000,0,0.0960724067776143,0.0213315343422746,0.674562345076896,0.0150912200839244,0.646864548302701,0.958939604357789,0.0214532707349757,0.681035410520106,0.955,0.00655553201502365,2.6406166304588,"02b_cor_to_smd_CONT",1000
0,50,0.15,"cooper","own",1000,1000,0,0.0144561667068309,0.00952686005181181,0.301265767133951,0.00673987812802164,0.288941745493059,0.959092525652237,0.021456691870067,0.301461908274025,0.954,0.00662449998113065,1.16177249915828,"02b_cor_to_smd_CONT",1000
0.1,50,0.15,"cooper","own",1000,1000,0,0.00502086167352667,0.00930918739117857,0.294382353214451,0.00658588329693442,0.290285644709954,0.986083715753461,0.0220605352258627,0.294277960381233,0.956,0.00648567652600714,1.16705240109906,"02b_cor_to_smd_CONT",1000
0.25,50,0.15,"cooper","own",1000,1000,0,0.00653489270522766,0.0100827293141996,0.318843896638183,0.00713313372989169,0.298807778928014,0.937160102729189,0.0209660225883897,0.318751429511564,0.947,0.00708456067798138,1.20053419696005,"02b_cor_to_smd_CONT",1000
0.5,50,0.15,"cooper","own",1000,1000,0,0.0145174666444338,0.0103722190242493,0.327998365067571,0.00733793629384668,0.33425354203643,1.01907075654956,0.0227985169649926,0.328155605463757,0.965,0.00581162627841812,1.34064976687829,"02b_cor_to_smd_CONT",1000
0.75,50,0.15,"cooper","own",1000,1000,0,0.0646140162993745,0.0146626019971968,0.463672187356756,0.0103732132059606,0.443889824784778,0.957335455713333,0.021417382932436,0.467922938669613,0.948,0.00702111102319284,1.77350839966299,"02b_cor_to_smd_CONT",1000
0,100,0.15,"cooper","own",1000,1000,0,-0.00518435962231748,0.0062469192886701,0.197544933114364,0.00441944926788516,0.20198539436604,1.0224782340993,0.0228747486046763,0.197514187296136,0.96,0.00619677335393187,0.801649170110826,"02b_cor_to_smd_CONT",1000
0.1,100,0.15,"cooper","own",1000,1000,0,0.00785381587926281,0.00664884941251816,0.210255079630298,0.00470379899444605,0.203201300076392,0.966451323952269,0.0216213219380059,0.210296632725534,0.952,0.00675988165576884,0.80642866680937,"02b_cor_to_smd_CONT",1000
0.25,100,0.15,"cooper","own",1000,1000,0,0.00455922898696236,0.00668043330686836,0.211253850065546,0.00472614335529223,0.208795965499165,0.988365255517859,0.0221115775334656,0.211197413685169,0.96,0.00619677335393187,0.828412661551742,"02b_cor_to_smd_CONT",1000
0.5,100,0.15,"cooper","own",1000,1000,0,0.00868730233491377,0.0075724496140564,0.239461882472812,0.00535720974715256,0.233782163974898,0.976281325281243,0.0218412374351626,0.239499729407203,0.953,0.00669260786241059,0.926613089020855,"02b_cor_to_smd_CONT",1000
0.75,100,0.15,"cooper","own",1000,1000,0,0.00650829636697484,0.0102257934223587,0.323367980970216,0.00723434594968313,0.306114137337706,0.946643314589333,0.0211781797571502,0.323271777591607,0.939,0.00756828910652864,1.21107455547959,"02b_cor_to_smd_CONT",1000
0,300,0.15,"cooper","own",1000,1000,0,-0.00360862533258595,0.00370598980496788,0.117193687690617,0.00262184177088063,0.11586137559754,0.988631537079074,0.022117534749539,0.117190649161451,0.944,0.00727076337120113,0.456018755229173,"02b_cor_to_smd_CONT",1000
0.1,300,0.15,"cooper","own",1000,1000,0,0.000560274058467764,0.00377726283929354,0.119447538932822,0.00267226463450587,0.116453775114683,0.974936580151539,0.0218111529739453,0.119389114870542,0.944,0.00727076337120113,0.458342679743421,"02b_cor_to_smd_CONT",1000
0.25,300,0.15,"cooper","own",1000,1000,0,0.00104578861628129,0.00389282913082056,0.123102065952465,0.00275402323244511,0.119683065452864,0.972226294716112,0.0217505188245671,0.123044943808973,0.946,0.00714730718522718,0.471007588727505,"02b_cor_to_smd_CONT",1000
0.5,300,0.15,"cooper","own",1000,1000,0,-0.00544646483561821,0.00428282933510218,0.135434955287074,0.00302993301095201,0.133628412180757,0.986661175451435,0.0220734540782939,0.135476745110383,0.947,0.00708456067798138,0.525727677551348,"02b_cor_to_smd_CONT",1000
0.75,300,0.15,"cooper","own",1000,1000,0,0.0172991723940615,0.00562565098126435,0.177898704219566,0.00397992641838968,0.175918367890023,0.988868180135258,0.022122828896875,0.178649271981604,0.951,0.00682634602111555,0.691731302662016,"02b_cor_to_smd_CONT",1000
0,25,0.3,"cooper","own",1000,1000,0,-0.00388067411498459,0.0139701458976858,0.441774802815447,0.00988332779835229,0.418080179264786,0.946364927561159,0.0211719517191618,0.44157091283033,0.964,0.00589101010014412,1.7288122444862,"02b_cor_to_smd_CONT",1000
0.1,25,0.3,"cooper","own",1000,1000,0,0.015778481835903,0.0138044948430095,0.436536456519585,0.00976613620382643,0.420186947632186,0.962547208501782,0.0215339795805109,0.436603337460733,0.963,0.00596917079668525,1.73716365396686,"02b_cor_to_smd_CONT",1000
0.25,25,0.3,"cooper","own",1000,1000,0,0.020374256537075,0.0145401675197008,0.459800469226558,0.0102865956370551,0.432980430355247,0.941670266417026,0.0210669233773597,0.460021918346181,0.965,0.00581162627841812,1.78794320692695,"02b_cor_to_smd_CONT",1000
0.5,25,0.3,"cooper","own",1000,1000,0,0.0457746946208984,0.015847634494584,0.501146205287369,0.0112115770075383,0.486999193899128,0.971770690391383,0.021740326104523,0.502982797143692,0.966,0.00573096850453743,2.00269459433082,"02b_cor_to_smd_CONT",1000
0.75,25,0.3,"cooper","own",1000,1000,0,0.114230667598423,0.0213170889279814,0.674105540967783,0.0150810005224618,0.649614349034749,0.963668609075854,0.0215590674066979,0.683383133756668,0.959,0.00627048642451286,2.65211990661908,"02b_cor_to_smd_CONT",1000
0,50,0.3,"cooper","own",1000,1000,0,-0.005061164353671,0.0095257833267285,0.30123171809718,0.0067391163874482,0.28893454603833,0.959177034422109,0.0214585824891543,0.301123600576916,0.942,0.00739161687318817,1.16173521668451,"02b_cor_to_smd_CONT",1000
0.1,50,0.3,"cooper","own",1000,1000,0,0.00956012991616489,0.00936900279094504,0.296273882238607,0.00662820033554026,0.290391333021469,0.980144894404158,0.0219276726955487,0.296279987794406,0.961,0.00612200947402077,1.16750110055049,"02b_cor_to_smd_CONT",1000
