"delta","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.2,300,0.15,"cooper","own",1000,1000,1000,1000,0,0.0027419630728472,0.00367882561197693,0.116334680484099,0.00260262417460973,0.11616374966032,0.998530697612542,0.0223389974673247,0.1163088237708,0.954,0.00662449998113065,0.457205334485137,"02a_cor_to_smd_GROUPS",1000
0.5,300,0.15,"cooper","own",1000,1000,1000,1000,0,-0.00151749209721984,0.00373051766148121,0.117969326617656,0.00263919426296536,0.117674249106383,0.997498692925241,0.0223159095941617,0.117920091769239,0.952,0.00675988165576884,0.463130583521119,"02a_cor_to_smd_GROUPS",1000
0.8,300,0.15,"cooper","own",1000,1000,1000,1000,0,0.00322833248210298,0.00373217373804266,0.118021696356794,0.00264036587188311,0.1205341289833,1.02128788777031,0.0228481183331262,0.118006838025342,0.957,0.00641490451994416,0.474353180101217,"02a_cor_to_smd_GROUPS",1000
1.2,300,0.15,"cooper","own",1000,1000,1000,1000,0,0.0108234216455041,0.00383275005312888,0.121202198700186,0.00271151965209611,0.12627600437907,1.04186232373089,0.0233084069090448,0.121624131869075,0.968,0.00556560868189635,0.496891056241825,"02a_cor_to_smd_GROUPS",1000
0,25,0.3,"cooper","own",1000,1000,1000,1000,0,-0.0306322439556496,0.0133703958578037,0.422809041287406,0.00945902827530929,0.417309190542952,0.986992116517407,0.0220808578483055,0.423706327871958,0.973,0.00512552436341883,1.72568616270417,"02a_cor_to_smd_GROUPS",1000
0.2,25,0.3,"cooper","own",1000,1000,1000,1000,0,4.56294704044771e-05,0.0134358936615711,0.424880263703842,0.00950536539085883,0.419085102006761,0.986360482723857,0.0220667270201315,0.42466777288677,0.97,0.00539444158370447,1.73258344927349,"02a_cor_to_smd_GROUPS",1000
0.5,25,0.3,"cooper","own",1000,1000,1000,1000,0,0.0512141996933118,0.014692247737766,0.464609667987968,0.0103941863993701,0.432225326134687,0.930297744354904,0.0208124988091914,0.467192867769327,0.956,0.00648567652600714,1.78438041687689,"02a_cor_to_smd_GROUPS",1000
0.8,25,0.3,"cooper","own",1000,1000,1000,1000,0,0.0633371325815376,0.014174093146282,0.448224181096333,0.010027612441205,0.449829432577697,1.00358135850109,0.0224519901885975,0.452455085026801,0.975,0.00493710441453288,1.85495504123412,"02a_cor_to_smd_GROUPS",1000
1.2,25,0.3,"cooper","own",1000,1000,1000,1000,0,0.0912048709854666,0.0155076312523846,0.49039435871545,0.0109710381098224,0.487602808629302,0.994307540377382,0.0222445175489748,0.498562402237025,0.973,0.00512552436341883,2.00466876493832,"02a_cor_to_smd_GROUPS",1000
0,50,0.3,"cooper","own",1000,1000,1000,1000,0,0.00287532271800646,0.00934075046133512,0.295380465130875,0.00660821292548407,0.288810743660841,0.97775844293859,0.0218742833171624,0.295246739258004,0.956,0.00648567652600714,1.16126057888001,"02a_cor_to_smd_GROUPS",1000
0.2,50,0.3,"cooper","own",1000,1000,1000,1000,0,0.0159777926299148,0.00927021896720683,0.293150063448673,0.00655831467233175,0.290164058736193,0.989814074479969,0.0221439903207765,0.29343877146278,0.958,0.00634318531969546,1.16655024803961,"02a_cor_to_smd_GROUPS",1000
0.5,50,0.3,"cooper","own",1000,1000,1000,1000,0,0.0106816978115588,0.00925629445659818,0.292709731760408,0.00654846362970236,0.296424177058745,1.01268985925407,0.0226557643697402,0.292758273577913,0.962,0.00604615580348373,1.19128163443077,"02a_cor_to_smd_GROUPS",1000
0.8,50,0.3,"cooper","own",1000,1000,1000,1000,0,0.0437521359132052,0.00927838559607972,0.29340831492911,0.00656409224049385,0.309366561261499,1.05438920957726,0.0235886567520035,0.296507335874237,0.966,0.00573096850453743,1.24252271394709,"02a_cor_to_smd_GROUPS",1000
1.2,50,0.3,"cooper","own",1000,1000,1000,1000,0,0.0386981921849965,0.0102756856979324,0.324945713254835,0.00726964276889408,0.33202236298234,1.02177794455764,0.0228590818191332,0.327080535838679,0.963,0.00596917079668525,1.33186496905525,"02a_cor_to_smd_GROUPS",1000
0,100,0.3,"cooper","own",1000,1000,1000,1000,0,0.0107774304555712,0.00637956672133286,0.201739613244245,0.00451329210018035,0.202029458940207,1.00143673169241,0.0224040108796367,0.201926535372671,0.951,0.00682634602111555,0.80182052826572,"02a_cor_to_smd_GROUPS",1000
