"n","k","icc","rater_share","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
20,3,0.8,0.2,"agreement","sample",1000,1000,1000,1000,0,0.0107948273323862,0.0120237224159293,0.380223487879591,0.00850630987416613,0.340548470246633,0.895653427792651,0.0200374407145412,0.380186610931688,0.908,0.00913980306133562,1.3320845320243,"10a_icc_agreement_coverage",1000
50,3,0.8,0.2,"agreement","sample",1000,1000,1000,1000,0,-0.0067465634465336,0.00796772484397605,0.251961582764741,0.00563685139846217,0.213781876387578,0.848470128032132,0.0189818621365661,0.251925922978287,0.901,0.00944452222190196,0.837314481198268,"10a_icc_agreement_coverage",1000
200,3,0.8,0.2,"agreement","sample",1000,1000,1000,1000,0,-0.0170952557898925,0.00517509076513338,0.16365073915925,0.00366117281756604,0.106501608022408,0.650785988316074,0.0145592985568926,0.164459814646203,0.802,0.012601428490453,0.417330150334794,"10a_icc_agreement_coverage",1000
1000,3,0.8,0.2,"agreement","sample",1000,1000,1000,1000,0,-0.0171695786406158,0.0045527467734904,0.143970494142124,0.00322088896385471,0.047552341104008,0.330292268477357,0.00738925519929848,0.144919184758402,0.442,0.0157046489932122,0.186348962802413,"10a_icc_agreement_coverage",1000
20,2,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.149309646926056,0.0181265426337589,0.573211608268255,0.0128238147269403,0.413291322270123,0.721010035925003,0.0161303417160382,0.592061100707359,0.825,0.0120156148406979,1.61646972153162,"10a_icc_agreement_coverage",1000
50,2,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.157788804156552,0.014529646937708,0.459467779212478,0.0102791527398065,0.258844181595851,0.563356547089128,0.0126033385941111,0.48558916401776,0.654,0.0150427391122761,1.01321901015416,"10a_icc_agreement_coverage",1000
200,2,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.151682740218545,0.013306787695706,0.420797574587345,0.00941402800678905,0.128530703215921,0.305445446880164,0.00683338537370586,0.447103099810346,0.295,0.0144213383567546,0.503179042800478,"10a_icc_agreement_coverage",1000
1000,2,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.157808055879827,0.0124347994386176,0.393222884734146,0.00879713067126828,0.0574570080614661,0.146118169343862,0.00326893647106405,0.423524492021578,0.142,0.0110379345894058,0.224969924565649,"10a_icc_agreement_coverage",1000
20,3,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.0896357069287342,0.0147758496978405,0.467253394094867,0.0104533314922025,0.344390958548383,0.737053947388685,0.0164892739936438,0.475543866026568,0.845,0.0114444309600784,1.34624314001243,"10a_icc_agreement_coverage",1000
50,3,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.0959867487325194,0.0123231938597079,0.389693606444783,0.00871817412145357,0.215462218529401,0.552901600041855,0.0123694418935204,0.401151719090517,0.676,0.014799459449588,0.842975202237644,"10a_icc_agreement_coverage",1000
200,3,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.0804043499297462,0.0107903883314428,0.341222039650632,0.00763377460280004,0.106896282781209,0.313274848514055,0.00700854371754881,0.350401066423347,0.387,0.015402305022301,0.418382233544662,"10a_icc_agreement_coverage",1000
1000,3,0.8,0.5,"agreement","sample",1000,1000,1000,1000,0,-0.0839653926710476,0.0106163030743319,0.335716980455367,0.00751061614235958,0.0477429399257922,0.142211871026106,0.00318154527874955,0.345895030668997,0.171,0.0119062588582644,0.186861397246778,"10a_icc_agreement_coverage",1000
20,2,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.440176652093081,0.0256782603266839,0.812017889830604,0.0181663574567308,0.419618435923497,0.516760087651559,0.0115608887306758,0.923292567607589,0.587,0.0155701958882989,1.63982661009942,"10a_icc_agreement_coverage",1000
50,2,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.4318874183386,0.0233836327653205,0.739455395073542,0.0165429988654762,0.262020292943453,0.354342256056424,0.00792729835901558,0.856022329814618,0.383,0.0153724103510152,1.02445493329829,"10a_icc_agreement_coverage",1000
200,2,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.390790697441974,0.0235177095245493,0.743695274478114,0.0166378528900014,0.129547389700509,0.174194181604042,0.00389704932555348,0.839789823602894,0.209,0.0128576436410409,0.506464644757305,"10a_icc_agreement_coverage",1000
1000,2,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.390448747889422,0.0235242863110206,0.743903250727451,0.0166425057073042,0.0577963382363288,0.0776933535104339,0.00173814548861372,0.839814788584271,0.094,0.00922843432007835,0.225920370075028,"10a_icc_agreement_coverage",1000
20,3,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.21389871541715,0.0212805659147943,0.672950581880948,0.01505516192964,0.346230278284918,0.514495845025021,0.0115102333923666,0.705806123255784,0.639,0.0151881203577006,1.35068856620632,"10a_icc_agreement_coverage",1000
50,3,0.8,0.8,"agreement","sample",1000,1000,1000,1000,0,-0.242574561953324,0.019380190253718,0.612855426891454,0.0137107210242992,0.217281988293544,0.354540367531129,0.00793173048287744,0.658831238332613,0.451,0.015735278834517,0.848690728253732,"10a_icc_agreement_coverage",1000
