rr	n	br	br_guess	method	bias_ci	bias_es	bias_var
RR=0.25	n=50	br=0.15	guessed br=0.15	metaumbrella (exp)	0.509250243427459	0.581587344834651	0.782023635355657
RR=0.25	n=50	br=0.15	guessed br=0.15	OR = RR	1	-0.12723718835723	1.92521809390344
RR=0.25	n=50	br=0.15	guessed br=0.5	dipietrantonj (br)	1	0.039338125216796	1.64711233478614
RR=0.25	n=50	br=0.15	guessed br=0.5	dipietrantonj (random)	1	0.039338125216796	1.64711233478614
RR=0.25	n=50	br=0.15	guessed br=0.5	Grant	0.9948	0.265503596297006	1.83620596933417
RR=0.25	n=50	br=0.15	guessed br=0.5	metaumbrella (cases)	1	0	2.18009464338464
RR=0.25	n=50	br=0.15	guessed br=0.5	metaumbrella (exp)	0.508351311851904	0.581999164751647	0.776068221509176
RR=0.25	n=50	br=0.15	guessed br=0.5	OR = RR	1	-0.128015565472254	1.91949534810425
RR=0.25	n=50	br=0.5	guessed br=0.01	dipietrantonj (br)	1	0.0236984736903898	1.25686133316005
RR=0.25	n=50	br=0.5	guessed br=0.01	dipietrantonj (random)	1	0.0230453448655287	1.25630766911337
RR=0.25	n=50	br=0.5	guessed br=0.01	Grant	0.9991	-0.570086824094335	1.11293147676427
RR=0.25	n=50	br=0.5	guessed br=0.01	metaumbrella (cases)	0.998510268506367	0.00357036527008563	1.31755256596205
RR=0.25	n=50	br=0.5	guessed br=0.01	metaumbrella (exp)	0.769686497161195	0.249267831814997	0.819473102730407
RR=0.25	n=50	br=0.5	guessed br=0.01	OR = RR	0.999033333333333	-0.578423063163976	1.11402181721486
RR=0.25	n=50	br=0.5	guessed br=0.05	dipietrantonj (br)	1	0.0240156668450885	1.27207923057537
RR=0.25	n=50	br=0.5	guessed br=0.05	dipietrantonj (random)	1	0.0234107148569433	1.27179701131557
RR=0.25	n=50	br=0.5	guessed br=0.05	Grant	0.9992	-0.539585996069494	1.11474992003184
RR=0.25	n=50	br=0.5	guessed br=0.05	metaumbrella (cases)	0.99872322315222	0.00347767349225463	1.32929962806068
RR=0.25	n=50	br=0.5	guessed br=0.05	metaumbrella (exp)	0.76988806892412	0.250968497513702	0.831000598452081
RR=0.25	n=50	br=0.5	guessed br=0.05	OR = RR	0.998666666666667	-0.582078579131935	1.12007222354203
RR=0.25	n=50	br=0.5	guessed br=0.15	dipietrantonj (br)	1	0.022345054501084	1.27319223863781
RR=0.25	n=50	br=0.5	guessed br=0.15	dipietrantonj (random)	1	0.0216830958070803	1.27232920946722
RR=0.25	n=50	br=0.5	guessed br=0.15	Grant	0.999733333333333	-0.445935954660468	1.11150564867698
RR=0.25	n=50	br=0.5	guessed br=0.15	metaumbrella (cases)	0.998728633987851	0.00349329951167122	1.32297655574649
RR=0.25	n=50	br=0.5	guessed br=0.15	metaumbrella (exp)	0.770004926455064	0.247209335394244	0.82801542704019
RR=0.25	n=50	br=0.5	guessed br=0.15	OR = RR	0.999066666666667	-0.579200010491547	1.12667672540508
RR=0.25	n=50	br=0.5	guessed br=0.5	dipietrantonj (br)	1	0.0235474708943381	1.26069392685228
RR=0.25	n=50	br=0.5	guessed br=0.5	dipietrantonj (random)	1	0.0231363637916525	1.26054867911284
RR=0.25	n=50	br=0.5	guessed br=0.5	Grant	0.999933333333333	-0.0366510625015059	1.08586076628059
RR=0.25	n=50	br=0.5	guessed br=0.5	metaumbrella (cases)	0.998477337110481	0.00395031827009668	1.31904950684174
RR=0.25	n=50	br=0.5	guessed br=0.5	metaumbrella (exp)	0.769697397192636	0.24663500568629	0.826810781887297
RR=0.25	n=50	br=0.5	guessed br=0.5	OR = RR	0.999533333333333	-0.578975957880164	1.12127725939576
RR=0.25	n=75	br=0.01	guessed br=0.01	dipietrantonj (br)	1	-0.0239996466950255	4.15661688665464
RR=0.25	n=75	br=0.01	guessed br=0.01	dipietrantonj (random)	1	-0.0239996466950255	4.15661688665464
RR=0.25	n=75	br=0.01	guessed br=0.01	Grant	1	-0.00820392712878391	4.46742722295775
RR=0.25	n=75	br=0.01	guessed br=0.01	metaumbrella (cases)	1	0	3.65345162097552
RR=0.25	n=75	br=0.01	guessed br=0.01	metaumbrella (exp)	0.745616374424962	0.137630556485404	1.72093585350213
RR=0.25	n=75	br=0.01	guessed br=0.01	OR = RR	1	-0.00738683108187007	4.83367579500177
RR=0.25	n=75	br=0.01	guessed br=0.05	dipietrantonj (br)	1	-0.0258486906300015	4.09303564008382
RR=0.25	n=75	br=0.01	guessed br=0.05	dipietrantonj (random)	1	-0.0258486906300015	4.09303564008382
RR=0.25	n=75	br=0.01	guessed br=0.05	Grant	1	-0.0105106197814514	3.88324030437731
RR=0.25	n=75	br=0.01	guessed br=0.05	metaumbrella (cases)	1	0	3.90710175286803
RR=0.25	n=75	br=0.01	guessed br=0.05	metaumbrella (exp)	0.740182678845256	0.139525151822852	1.7032092447935
RR=0.25	n=75	br=0.01	guessed br=0.05	OR = RR	1	-0.00758542109013537	4.79475312000063
RR=0.25	n=75	br=0.01	guessed br=0.15	dipietrantonj (br)	1	-0.0233266249649045	4.13435448885194
RR=0.25	n=75	br=0.01	guessed br=0.15	dipietrantonj (random)	1	-0.0233266249649045	4.13435448885194
RR=0.25	n=75	br=0.01	guessed br=0.15	Grant	1	-0.0107292126649113	3.58242949431959
RR=0.25	n=75	br=0.01	guessed br=0.15	metaumbrella (cases)	1	0	3.85596799738214
RR=0.25	n=75	br=0.01	guessed br=0.15	metaumbrella (exp)	0.747933057741032	0.135767728010342	1.69978918946563
RR=0.25	n=75	br=0.01	guessed br=0.15	OR = RR	1	-0.00742092144963477	4.81522250753791
RR=0.25	n=75	br=0.01	guessed br=0.5	dipietrantonj (br)	1	-0.0231682427571065	4.0820681098477
RR=0.25	n=75	br=0.01	guessed br=0.5	dipietrantonj (random)	1	-0.0231682427571065	4.0820681098477
RR=0.25	n=75	br=0.01	guessed br=0.5	Grant	0.989	0.0392932882205435	4.25583542161594
RR=0.25	n=75	br=0.01	guessed br=0.5	metaumbrella (cases)	1	0	3.56336326628996
RR=0.25	n=75	br=0.01	guessed br=0.5	metaumbrella (exp)	0.745582449823298	0.137883596411631	1.70269672342845
RR=0.25	n=75	br=0.01	guessed br=0.5	OR = RR	1	-0.00762405541684828	4.84049817802311
RR=0.25	n=75	br=0.05	guessed br=0.01	dipietrantonj (br)	1	-0.00886870422795346	1.78335717293085
RR=0.25	n=75	br=0.05	guessed br=0.01	dipietrantonj (random)	1	-0.00886870422795346	1.78335717293085
RR=0.25	n=75	br=0.05	guessed br=0.01	Grant	1	-0.0360049614288567	2.4098496582908
