"response","n","k","shape","method","n_valid","C","scale_mean","scale_sd","mean_item","floor_position","sd_over_max","se_ratio","c_variance_error","coverage_centred"
"q7_d00",200,8,"congeneric","omega",1000,7,31.98431,10.9267562007991,3.99803875,0.499673125,0.455281605657831,1.0385310422878,0.927173553155566,0.957
"q2_d00",200,8,"congeneric","omega",1000,2,11.99839,2.43039996657547,1.49979875,0.49979875,0.60760004086137,1.09178396729689,0.838931642158635,0.966
"q5_d00",200,8,"congeneric","omega",1000,5,23.999155,7.63626744258437,2.999894375,0.49997359375,0.47726671582711,0.994685718082895,1.01071389295975,0.954
"q3_d00",200,8,"congeneric","omega",1000,3,16.000305,4.24462747491944,2.000038125,0.5000190625,0.530578434750532,1.02776993228392,0.946690859121982,0.952
"q2_d16",1000,8,"congeneric","omega",1000,2,8.43824,0.954260882536354,1.05478,0.0547800000000001,0.524203201835007,0.495720759122284,4.06935696399367,0.663
"q3_d16",1000,8,"congeneric","omega",1000,3,9.137091,1.87063054667311,1.142136375,0.0710681875,0.4550283979558,0.573287391771749,3.04267256785268,0.748
"q5_d16",1000,8,"congeneric","omega",1000,5,10.818943,3.74967259430909,1.352367875,0.08809196875,0.413427814812463,0.658757268401559,2.30435380241754,0.802
"q7_d16",1000,8,"congeneric","omega",1000,7,12.654051,5.62294409397057,1.581756375,0.0969593958333334,0.395889459336482,0.639555759650595,2.44479906704497,0.784
"q2_d12",1000,8,"congeneric","omega",1000,2,8.922088,1.42480800920193,1.115261,0.115261,0.557721752405848,0.664006395849094,2.26806488530773,0.81
"q3_d12",1000,8,"congeneric","omega",1000,3,10.179595,2.67386063969828,1.272449375,0.1362246875,0.487181156258237,0.742671902790118,1.81303426713354,0.847
"q5_d12",1000,8,"congeneric","omega",1000,5,13.009423,5.12757929329241,1.626177875,0.15654446875,0.440973455576482,0.790775373891728,1.5991666628567,0.876
"q7_d12",1000,8,"congeneric","omega",1000,7,15.985935,7.53456406446664,1.998241875,0.166373645833333,0.421491584355916,0.798257390998565,1.56932937253835,0.875
"q2_d08",1000,8,"congeneric","omega",1000,2,9.693987,1.91042036949346,1.211748375,0.211748375,0.58451609285071,0.842763292437036,1.40795501070165,0.904
"q3_d08",1000,8,"congeneric","omega",1000,3,11.718312,3.45668180642811,1.464789,0.2323945,0.511513923126527,0.896097394610627,1.24534468266336,0.922
"q5_d08",1000,8,"congeneric","omega",1000,5,16.042074,6.393719546263,2.00525925,0.2513148125,0.460622279719091,0.925181136038892,1.16827870798553,0.928
"q7_d08",1000,8,"congeneric","omega",1000,7,20.485256,9.27710044811877,2.560657,0.2601095,0.440564184955265,0.935713783694261,1.1421258103378,0.93
"q2_d04",1000,8,"congeneric","omega",1000,2,10.754459,2.28586042490401,1.344307375,0.344307375,0.601362592718142,1.01753848460107,0.965824710209128,0.956
"q3_d04",1000,8,"congeneric","omega",1000,3,13.724758,4.03851079111532,1.71559475,0.357797375,0.526558529127018,1.0297332760186,0.943084279278494,0.952
"q5_d04",1000,8,"congeneric","omega",1000,5,19.810649,7.31644968426924,2.476331125,0.36908278125,0.473807934845683,1.06481990035243,0.881957549086064,0.955
"q7_d04",1000,8,"congeneric","omega",1000,7,25.957526,10.4860808020036,3.24469075,0.374115125,0.451462935336997,1.02777542637788,0.946680737855216,0.96
"q3_d00",1000,8,"congeneric","omega",1000,3,15.998356,4.25220118444548,1.9997945,0.49989725,0.531525159278905,1.09112158697762,0.83995052123825,0.963
"q7_d00",1000,8,"congeneric","omega",1000,7,31.995372,10.9186378754476,3.9994215,0.499903583333333,0.45494325326878,1.0620232611851,0.886608604615757,0.966
"q2_d00",1000,8,"congeneric","omega",1000,2,11.999774,2.42861365007233,1.49997175,0.49997175,0.607153413487176,1.04411053695814,0.917290810654126,0.955
"q5_d00",1000,8,"congeneric","omega",1000,5,24.0084,7.64236950698342,3.00105,0.5002625,0.477648160012355,1.05659793850735,0.895736934174993,0.962
