"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,300,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000868520883641702,0.00182374686859045,0.0576719398034561,0.00129022905383428,0.0571764140527492,0.991407853587106,0.0221796461373908,0.0576496393447356,0.945,0.00720936890441875,0.224124233390014,"01b_smd_to_cor_z",1000
0.5,300,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00230490294227418,0.00176935003252134,0.0559517608086044,0.00125174543555272,0.0556182615717171,0.99403952204421,0.0222385214780675,0.05597125615545,0.946,0.00714730718522718,0.218009414509567,"01b_smd_to_cor_z",1000
0.75,300,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000724613483203305,0.00161045849047281,0.0509271690705066,0.00113933592988596,0.0528453532448545,1.03766524252884,0.0232145103602787,0.0509068564899314,0.957,0.00641490451994416,0.207135959699845,"01b_smd_to_cor_z",1000
0,25,0.3,"viechtbauer","own",1000,998,998,998,0.002,-0.00220132757218037,0.00675452330051455,0.213383077696334,0.00477856389958396,0.204124145231932,0.956608871873248,0.0214225826645005,0.213287505741013,0.943887775551102,0.00728490097948187,0.800151946059218,"01b_smd_to_cor_z",1000
0.1,25,0.3,"viechtbauer","own",1000,999,999,999,0.001,-0.0091130299596594,0.00700534092973738,0.221417539369202,0.00495600518006647,0.204124145231932,0.921896909402311,0.0206348867912703,0.221494242033096,0.924924924924925,0.00833716477551217,0.800151946059218,"01b_smd_to_cor_z",1000
0.25,25,0.3,"viechtbauer","own",1000,998,998,998,0.002,0.0147514675531459,0.00703769327488857,0.222328739433634,0.0049788957004805,0.204124145231932,0.918118574107523,0.020560619525843,0.222706409980694,0.927855711422846,0.0081898496614899,0.800151946059218,"01b_smd_to_cor_z",1000
0.5,25,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.0374715329019416,0.00695309880259504,0.219876290123898,0.00491904345048832,0.204124145231932,0.92835905643537,0.0207691267379792,0.222938002937389,0.927,0.00822623850857729,0.800151946059218,"01b_smd_to_cor_z",1000
0.75,25,0.3,"viechtbauer","own",1000,998,998,998,0.002,0.0288248221656154,0.00734347771056685,0.231988817738746,0.00519522635778619,0.204124145231932,0.879887863654731,0.0197044696624262,0.233657345837478,0.905811623246493,0.00924596680950843,0.800151946059218,"01b_smd_to_cor_z",1000
0,50,0.3,"viechtbauer","own",1000,1000,1000,1000,0,-0.00018697539393225,0.00477444751852042,0.150981287274635,0.00337773350594597,0.142857142857143,0.94619105079748,0.0211680617710683,0.150905893582049,0.925,0.00832916562447884,0.559989709868587,"01b_smd_to_cor_z",1000
0.1,50,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00767383535651425,0.00456879646151797,0.144478029841146,0.00323224348577593,0.142857142857143,0.988781083284528,0.0221208803775831,0.144609525809164,0.954,0.00662449998113065,0.559989709868587,"01b_smd_to_cor_z",1000
