"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.3,100,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00225277968719494,0.00638726079902368,0.201982921344218,0.00451873535699967,0.201092350206623,0.995590859208946,0.0222732277891272,0.20189447350175,0.949,0.00695693898205238,0.798207273823821,"07a_ancova_to_smd_d",1000
0.8,100,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.0019280104713657,0.00672971217577322,0.212812184728108,0.00476100621345317,0.204565936245024,0.961251051044753,0.0215049821163177,0.212714489791268,0.946,0.00714730718522718,0.81191818177125,"07a_ancova_to_smd_d",1000
0,300,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00437782458339905,0.00379773225739906,0.120094838768739,0.0026867459413197,0.115574128541503,0.962357164774238,0.0215297279472277,0.120114582281559,0.945,0.00720936890441875,0.454895583876152,"07a_ancova_to_smd_d",1000
0.3,300,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.000810255399139305,0.00380829579157029,0.12042888704996,0.00269421922554221,0.115902560277851,0.962414941439833,0.0215310205191932,0.120371384610578,0.946,0.00714730718522718,0.45618602257358,"07a_ancova_to_smd_d",1000
0.8,300,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00599078452184397,0.00361991376998849,0.114471724465705,0.00256094636753164,0.117943290065244,1.03032683936354,0.0230503365696123,0.114571206791398,0.957,0.00641490451994416,0.464205461331135,"07a_ancova_to_smd_d",1000
0,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00538061711424761,0.00646892131463147,0.204565253586461,0.00457650695436487,0.20052224374209,0.980236087148288,0.0219297128476292,0.204533730891627,0.958,0.00634318531969546,0.795957058542595,"07a_ancova_to_smd_d",1000
0.3,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.000514460530872308,0.0065389856489235,0.206780882377524,0.00462607471033914,0.201163944121911,0.972836278716723,0.0217641653064202,0.206678106371112,0.94,0.00750999334220744,0.798490776147744,"07a_ancova_to_smd_d",1000
0.8,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00111021198611481,0.00670272214744972,0.211958685091961,0.0047419118318224,0.204966269137574,0.967010476823097,0.0216338312325074,0.211855588249121,0.949,0.00695693898205238,0.813500175267065,"07a_ancova_to_smd_d",1000
0,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00789422470118717,0.00365959135881959,0.115726439993404,0.00258901669833119,0.115567019048748,0.9986224328281,0.0223410497555046,0.11593763447762,0.944,0.00727076337120113,0.454867663218088,"07a_ancova_to_smd_d",1000
0.3,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00148795014580561,0.00371910480771167,0.117608420492514,0.00263112011859027,0.115928076360283,0.985712382453616,0.0220522278061062,0.117559018479272,0.949,0.00695693898205238,0.45628636643508,"07a_ancova_to_smd_d",1000
0.8,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00329191644472034,0.00370384909805772,0.117125992594227,0.00262032730508562,0.118154841861242,1.0087841242087,0.0225683857788815,0.117113689878343,0.954,0.00662449998113065,0.465036568391878,"07a_ancova_to_smd_d",1000
0,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00868132366943544,0.00621250890270438,0.196456781166192,0.00439510527558489,0.200482318883486,1.02049070382502,0.0228302838387262,0.196550342100869,0.961,0.00612200947402077,0.795798965816246,"07a_ancova_to_smd_d",1000
0.3,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.000831760136494906,0.00648808198212132,0.205171167094032,0.00459006237168294,0.201281423288838,0.981041469616385,0.0219477307583034,0.205070242658083,0.948,0.00702111102319284,0.798954176125659,"07a_ancova_to_smd_d",1000
0.8,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.0119924769755526,0.00658193428515817,0.20813903750652,0.00465645917829733,0.206087907897938,0.990145387270189,0.0221514024069541,0.208380317158832,0.955,0.00655553201502365,0.817940682852654,"07a_ancova_to_smd_d",1000
0,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00158874626021831,0.00370119524731219,0.117042070464967,0.00261844981024497,0.115568793881445,0.987412418648531,0.0220902607923162,0.116994322627839,0.947,0.00708456067798138,0.454874611356569,"07a_ancova_to_smd_d",1000
0.3,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00252073428283005,0.00370257610716613,0.117085737087646,0.00261942671418571,0.116018309656315,0.990883369248189,0.0221679124427265,0.11705432440048,0.951,0.00682634602111555,0.45664083145434,"07a_ancova_to_smd_d",1000
0.8,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00210865268590191,0.00389086823751639,0.123040057061568,0.00275263597769168,0.118655987487089,0.964368761855453,0.021574731132618,0.122996598335978,0.936,0.0077397674383666,0.467004035981552,"07a_ancova_to_smd_d",1000
0,100,0.7,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.0122087395636195,0.00614682449841943,0.194379657923274,0.00434863614752121,0.200473124399316,1.03134827245373,0.0230731879363947,0.194665665397592,0.964,0.00589101010014412,0.795763563518956,"07a_ancova_to_smd_d",1000
0.3,100,0.7,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00384745181572938,0.00633195974805009,0.200234148563442,0.00447961204229928,0.201647922063576,1.00706060135235,0.0225298273521702,0.200170985465302,0.952,0.00675988165576884,0.800403818502075,"07a_ancova_to_smd_d",1000
