"or_true","br","n","p_exp","rr","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,0.1,300,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.510825623765991,0,0,0,NA,NA,NA,0.510825623765991,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,300,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0871766935723892,0,0,0,NA,NA,NA,0.0871766935723892,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,300,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-2.22044604925031e-16,0,0,0,NA,NA,NA,2.22044604925031e-16,NA,NA,NA,"06_or_se_imputation",1000
1,0.02,1000,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-1.27296567581289,0,0,0,NA,NA,NA,1.27296567581289,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,1000,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.510825623765991,0,0,0,NA,NA,NA,0.510825623765991,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,1000,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.087176693572389,0,0,0,NA,NA,NA,0.087176693572389,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,1000,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,50,0.25,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.2031242638847,4.79150078711771e-05,0.00151520558977815,3.38979802157915e-05,NA,NA,NA,0.203129909493487,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,100,0.25,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,300,0.25,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,1000,0.25,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,50,0.5,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082175,0,0,0,NA,NA,NA,0.0303123109082175,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,100,0.5,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082174,0,0,0,NA,NA,NA,0.0303123109082174,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,300,0.5,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082177,0,0,0,NA,NA,NA,0.0303123109082177,NA,NA,NA,"06_or_se_imputation",1000
2,0.5,1000,0.5,1.33333333333333,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082177,0,0,0,NA,NA,NA,0.0303123109082177,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,50,0.25,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.182137868027748,0,0,0,NA,NA,NA,0.182137868027748,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,100,0.25,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.169227198912602,0,0,0,NA,NA,NA,0.169227198912602,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,300,0.25,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.169227198912602,0,0,0,NA,NA,NA,0.169227198912602,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,1000,0.25,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.169227198912602,0,0,0,NA,NA,NA,0.169227198912602,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,50,0.5,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0468427420386616,0,0,0,NA,NA,NA,0.0468427420386616,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,100,0.5,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0468427420386615,0,0,0,NA,NA,NA,0.0468427420386615,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,300,0.5,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0468427420386617,0,0,0,NA,NA,NA,0.0468427420386617,NA,NA,NA,"06_or_se_imputation",1000
2,0.3,1000,0.5,1.53846153846154,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0468427420386615,0,0,0,NA,NA,NA,0.0468427420386615,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,50,0.25,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.33670954170989,0.000143845414043556,0.00454879139347609,0.000101764962921231,NA,NA,NA,0.336740235626993,NA,NA,NA,"06_or_se_imputation",1000
