d	n	r_cov	p	r_cov_guess	method	bias_ci	bias_es	bias_var
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.3	SD = pooled SDs	1	0.000267831517726544	0.939254268523354
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.3	SD = max(SDs)	1	-0.000570708207201567	0.95800966258986
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.3	SD = min(SDs)	1	0.00116032712511216	0.919500858925005
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.3	SD = sigma(model)	1	0.00173057554936319	0.907395102977031
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000160505798578589	0.948528712019091
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.5	SD = pooled SDs	1	-0.00755110233465263	0.964361788440856
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00834438507571088	0.984361064492056
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.5	SD = min(SDs)	1	-0.00669528213554887	0.94320207473931
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.5	SD = sigma(model)	1	-0.00620270970868603	0.930578557933456
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00794064169744361	0.973484403716418
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.00423341827102556	0.937173949120361
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.1	SD = max(SDs)	1	0.00339841474366858	0.955235439770018
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.00508473531650844	0.920563058501381
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.00561942389950156	0.909624706542397
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	0.00385101449941665	0.946507329728129
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.3	SD = pooled SDs	1	7.60163814098811e-05	0.937948624099727
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.3	SD = max(SDs)	1	-0.000813182878397476	0.956086439769383
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.3	SD = min(SDs)	1	0.000948246754385164	0.921611468157301
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.3	SD = sigma(model)	1	0.00143246973810436	0.910652937050531
d=0	n=50	r_cov=0.3	0.7	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000269540414303592	0.947693046228663
