"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.019634851539828,0.0066438320688199,0.210096417291394,0.00470024942146306,0.389661385408225,1.85467886807314,0.0414926317594926,0.2109073053479,0.999,0.000999499874937461,1.56510118123918,"08a_pre_post_to_smd_d",1000
1.4,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00567836859604688,0.00582596777565361,0.184233277458103,0.00412164265793103,0.33730499760199,1.83085815036156,0.0409597177951037,0.184228669029399,1,0,1.35571618822223,"08a_pre_post_to_smd_d",1000
0.5,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0220403156554584,0.0192929731027779,0.61009737841144,0.013649018326368,0.56528628640533,0.926550918604521,0.0207286753161847,0.610190435722783,0.932,0.00796090447122687,2.24999386018379,"08a_pre_post_to_smd_d",1000
0.7,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0263093965287168,0.0153035552774241,0.483940909749501,0.0108266623981387,0.417310993572358,0.862318074717776,0.0192916665789112,0.484413861972126,0.928,0.00817410545564467,1.66521689948353,"08a_pre_post_to_smd_d",1000
1,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00971393162730793,0.0123743734671952,0.391312047738918,0.00875438167727247,0.321827945203768,0.822433009827724,0.0183993631517924,0.39123695384585,0.9,0.00948683298050514,1.28925962433932,"08a_pre_post_to_smd_d",1000
1.4,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00729367752344573,0.0104930668466853,0.331819908759265,0.00742343136681153,0.279917941113803,0.843583925269787,0.0188725486508677,0.331734148270831,0.914,0.00886588969026797,1.12437618639225,"08a_pre_post_to_smd_d",1000
0.5,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0247452372762113,0.0168142194011323,0.531712303853704,0.0118953977454404,0.564292686173005,1.06127445628617,0.0237426925860144,0.532022163883424,0.965,0.00581162627841812,2.25002399334097,"08a_pre_post_to_smd_d",1000
0.7,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0269401568999075,0.012455643627696,0.393882035868817,0.00881187711377946,0.409132895354824,1.03871935782084,0.0232380928889827,0.394605736369576,0.964,0.00589101010014412,1.63540451793209,"08a_pre_post_to_smd_d",1000
1,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0276646959521167,0.0093777410734201,0.296550210993198,0.00663438232610272,0.318219286050889,1.07307050966215,0.024006592341045,0.297690142622481,0.973,0.00512552436341883,1.27577716210201,"08a_pre_post_to_smd_d",1000
1.4,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00583856597751999,0.00835875494904233,0.264327040421784,0.00591348979119609,0.277833756167301,1.05109850178008,0.0235150374698697,0.264259350575368,0.958,0.00634318531969546,1.11631633716112,"08a_pre_post_to_smd_d",1000
