r	n	p	method	bias_ci	bias_es	bias_var
r=0.25	n=100	0.5	Lipsey-Cooper (z)	0.9848	-0.055875990951775	1.01416946239862
r=0.25	n=100	0.5	Viechtbauer (z)	0.9858	-0.052604853782094	0.962827319614403
r=0.25	n=100	0.7	Lipsey-Cooper (r)	0.9757	-0.0625783468862377	0.982056776849208
r=0.25	n=100	0.7	Viechtbauer (r)	0.9945	-0.000309414017655864	0.965632779926705
r=0.25	n=100	0.7	Lipsey-Cooper (z)	0.9668	-0.0664782827888239	1.01540563352781
r=0.25	n=100	0.7	Viechtbauer (z)	0.9686	-0.0630972896108162	0.960774093505565
r=0.25	n=300	0.3	Lipsey-Cooper (r)	0.8917	-0.0608347007115193	0.994997016817007
r=0.25	n=300	0.3	Viechtbauer (r)	0.9969	-0.000106668691084038	0.985974312823132
r=0.25	n=300	0.3	Lipsey-Cooper (z)	0.8841	-0.0641485701904961	1.03137839736765
r=0.25	n=300	0.3	Viechtbauer (z)	0.8877	-0.0625431142606303	0.985049073987818
r=0.25	n=300	0.5	Lipsey-Cooper (r)	0.9499	-0.0510347551885488	1.0023801754563
r=0.25	n=300	0.5	Viechtbauer (r)	0.9984	0.000140123472693496	0.998150784815802
r=0.25	n=300	0.5	Lipsey-Cooper (z)	0.9463	-0.0539573950905161	1.04327491889473
r=0.25	n=300	0.5	Viechtbauer (z)	0.9479	-0.0523982419168354	0.997392094753199
r=0.25	n=300	0.7	Lipsey-Cooper (r)	0.8884	-0.0616381887583986	1.01944096245863
r=0.25	n=300	0.7	Viechtbauer (r)	0.9969	-0.000922651194943312	1.01022587063545
r=0.25	n=300	0.7	Lipsey-Cooper (z)	0.8818	-0.0649848482547719	1.05515265525895
r=0.25	n=300	0.7	Viechtbauer (z)	0.8847	-0.0633836543512248	1.0073729596861
r=0.5	n=25	0.3	Lipsey-Cooper (r)	0.9827	-0.124881875854706	1.00706313654908
r=0.5	n=25	0.3	Viechtbauer (r)	0.9848	0.00193857486616229	0.940473497330088
r=0.5	n=25	0.3	Lipsey-Cooper (z)	0.9354	-0.161552771865257	1.12344095913932
r=0.5	n=25	0.3	Viechtbauer (z)	0.9511	-0.131655258015363	0.877246598653045
r=0.5	n=25	0.5	Lipsey-Cooper (r)	0.9906	-0.111869841282218	0.96651141844274
r=0.5	n=25	0.5	Viechtbauer (r)	0.9888	0.000333279308294431	0.91613522399042
r=0.5	n=25	0.5	Lipsey-Cooper (z)	0.9567	-0.145987286251939	1.09628499960291
r=0.5	n=25	0.5	Viechtbauer (z)	0.9682	-0.116297614476809	0.859860267504993
r=0.5	n=25	0.7	Lipsey-Cooper (r)	0.9801	-0.127141605993436	0.986364844062807
r=0.5	n=25	0.7	Viechtbauer (r)	0.9844	-0.000698457337769089	0.920897894632844
r=0.5	n=25	0.7	Lipsey-Cooper (z)	0.9321	-0.16385111286314	1.10433502395803
r=0.5	n=25	0.7	Viechtbauer (z)	0.9484	-0.134020173219268	0.864083660422893
r=0.5	n=50	0.3	Lipsey-Cooper (r)	0.9212	-0.125556888759472	1.00129605700452
r=0.5	n=50	0.3	Viechtbauer (r)	0.9893	0.00107279143104763	0.948955996207218
r=0.5	n=50	0.3	Lipsey-Cooper (z)	0.874	-0.158964559971169	1.14507842175616
r=0.5	n=50	0.3	Viechtbauer (z)	0.8912	-0.14046398263618	0.91726702635782
r=0.5	n=50	0.5	Lipsey-Cooper (r)	0.9617	-0.106906649751945	1.0105735346136
r=0.5	n=50	0.5	Viechtbauer (r)	0.995	-3.88867125945184e-06	0.976906418026262
r=0.5	n=50	0.5	Lipsey-Cooper (z)	0.9308	-0.13673824464015	1.17396853714593
r=0.5	n=50	0.5	Viechtbauer (z)	0.9402	-0.119016391636565	0.950692188206746
r=0.5	n=50	0.7	Lipsey-Cooper (r)	0.9273	-0.124595506258111	1.02868939997537
r=0.5	n=50	0.7	Viechtbauer (r)	0.9895	0.00161607344868709	0.975371838884958
r=0.5	n=50	0.7	Lipsey-Cooper (z)	0.8787	-0.15748001619057	1.17209573305071
r=0.5	n=50	0.7	Viechtbauer (z)	0.8985	-0.139188023159133	0.939229988652835
r=0.5	n=75	0.3	Lipsey-Cooper (r)	0.855	-0.12274694983709	1.02667638929613
r=0.5	n=75	0.3	Viechtbauer (r)	0.9917	-3.01233989168241e-05	0.981500887124627
r=0.5	n=75	0.3	Lipsey-Cooper (z)	0.821	-0.154152686691831	1.18084897715546
r=0.5	n=75	0.3	Viechtbauer (z)	0.839	-0.13978191681623	0.95942148250211
r=0.5	n=75	0.5	Lipsey-Cooper (r)	0.9179	-0.104654647182157	1.00643575477521
r=0.5	n=75	0.5	Viechtbauer (r)	0.9944	0.000107606083320781	0.979353772701624
r=0.5	n=75	0.5	Lipsey-Cooper (z)	0.8928	-0.132765367868026	1.18105664195604
r=0.5	n=75	0.5	Viechtbauer (z)	0.9029	-0.118853344643497	0.966285901204158
r=0.5	n=75	0.7	Lipsey-Cooper (r)	0.8514	-0.122752140275659	1.03488507481392
r=0.5	n=75	0.7	Viechtbauer (r)	0.9923	-0.000107565769164089	0.9893408039111
r=0.5	n=75	0.7	Lipsey-Cooper (z)	0.8149	-0.154202756564191	1.19276811744088
r=0.5	n=75	0.7	Viechtbauer (z)	0.8344	-0.139884612834878	0.970749770256032
r=0.5	n=100	0.3	Lipsey-Cooper (r)	0.7549	-0.124172157944588	1.00879001215886
r=0.5	n=100	0.3	Viechtbauer (r)	0.991	-0.000679053832083538	0.966088486967118
r=0.5	n=100	0.3	Lipsey-Cooper (z)	0.7279	-0.155673987664654	1.16390380640145
r=0.5	n=100	0.3	Viechtbauer (z)	0.7502	-0.143004849427823	0.948128117741094
r=0.5	n=100	0.5	Lipsey-Cooper (r)	0.8646	-0.103690093240982	1.01368126937317
r=0.5	n=100	0.5	Viechtbauer (r)	0.9945	6.07130294797415e-05	0.989963416141802
r=0.5	n=100	0.5	Lipsey-Cooper (z)	0.8463	-0.130991722623861	1.18604199209877
r=0.5	n=100	0.5	Viechtbauer (z)	0.8599	-0.118897609187662	0.972042259577317
r=0.5	n=100	0.7	Lipsey-Cooper (r)	0.754	-0.124065445263142	1.00843466689145
r=0.5	n=100	0.7	Viechtbauer (r)	0.9923	-0.000914276943815417	0.966035578942766
r=0.5	n=100	0.7	Lipsey-Cooper (z)	0.7295	-0.155385980131696	1.1606350447265
r=0.5	n=100	0.7	Viechtbauer (z)	0.7498	-0.14279536051806	0.945481603965815
r=0.5	n=300	0.3	Lipsey-Cooper (r)	0.1953	-0.122024431214291	1.04561680389983
r=0.5	n=300	0.3	Viechtbauer (r)	0.9927	-0.000409487584533786	1.00825684579099
r=0.5	n=300	0.3	Lipsey-Cooper (z)	0.217	-0.152146910071146	1.21567724387098
