"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,300,0.5,0.1,"phi (r)","population",1000,1000,0,-0.0535107592688179,0.00180280091661274,0.0570095706433553,0.00127541061808132,0.0578322837071439,1.01443113944736,0.0226947200612587,0.0781680395770558,0.850551654964895,0.0112914137855808,0.226490079080502,"03b_2x2_to_cor_CONT",1000
0.25,300,0.5,0.1,"phi (r)","population",1000,1000,0,-0.136567335659511,0.00177064380288221,0.0559926734197001,0.00125266072710843,0.058500536350617,1.04478912646515,0.0233738849549619,0.147589570994518,0.355,0.0151319199046255,0.229100470540118,"03b_2x2_to_cor_CONT",1000
0,25,0.3,0.3,"phi (r)","population",1000,1000,0,0.00442917357389522,0.00623792012440806,0.197260354553304,0.00441308271373717,0.190958653070855,0.968053887479221,0.0216571742785052,0.197211443404191,0.980898876404494,0.0045882447101377,0.743865028482139,"03b_2x2_to_cor_CONT",1000
0.1,25,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0345089249012927,0.00651676540444504,0.206078216550347,0.00461035476284908,0.189863800919628,0.921319119011505,0.0206116301836341,0.208845945622792,0.969331872946331,0.00570616709061645,0.740633550401539,"03b_2x2_to_cor_CONT",1000
0.25,25,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0966266203608419,0.0065021972799652,0.205617532004416,0.00460004838876423,0.188382050491859,0.91617698479045,0.0204965910329946,0.227096883863424,0.956429330499469,0.0066547040771725,0.737158953734455,"03b_2x2_to_cor_CONT",1000
0.5,25,0.3,0.3,"phi (r)","population",1000,1000,0,-0.179698052656079,0.00669910612001787,0.211844336264298,0.00473935363488598,0.182172185065405,0.859934177509123,0.0192383343440247,0.277713044189214,0.791267305644302,0.013262458995116,0.721699209432966,"03b_2x2_to_cor_CONT",1000
0.75,25,0.3,0.3,"phi (r)","population",1000,1000,0,-0.230716769764704,0.00611482878043909,0.193367864481372,0.00432600043768259,0.168567668221494,0.871746030156594,0.0195025875582795,0.300971705869059,0.601645123384254,0.0167818752914776,0.68719768030914,"03b_2x2_to_cor_CONT",1000
0,50,0.3,0.3,"phi (r)","population",1000,1000,0,0.00614596637588616,0.00457898894009781,0.144800344314294,0.00323945426278713,0.138314735968171,0.955209993616824,0.021369832373896,0.14485836350214,0.968559837728195,0.00555734246214042,0.539905439479735,"03b_2x2_to_cor_CONT",1000
0.1,50,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0427589949665737,0.00433098959858866,0.136957916540385,0.00306400449985255,0.138025581412595,1.00779556888115,0.0225462699490816,0.143412151098613,0.956433637284701,0.00649747318628888,0.538845929978277,"03b_2x2_to_cor_CONT",1000
0.25,50,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0882031281727129,0.00460952973618564,0.145766129086217,0.00326106067271079,0.136526149614347,0.936610929234427,0.0209537365511773,0.170312384880968,0.89828801611279,0.00959222244009805,0.533976305088258,"03b_2x2_to_cor_CONT",1000
0.5,50,0.3,0.3,"phi (r)","population",1000,1000,0,-0.183728601531818,0.00454439691076921,0.143706448298637,0.00321498176496437,0.132312744822824,0.920715433366393,0.020598124607762,0.233210400197255,0.668,0.0148921455808087,0.520588605942987,"03b_2x2_to_cor_CONT",1000
0.75,50,0.3,0.3,"phi (r)","population",1000,1000,0,-0.225444525275063,0.00444179740915452,0.140461967179631,0.0031423966599961,0.120859743569684,0.860444617119172,0.0192497538318615,0.265584390799321,0.434077079107505,0.0157842376668348,0.484689725270736,"03b_2x2_to_cor_CONT",1000
0,100,0.3,0.3,"phi (r)","population",1000,1000,0,0.00528471042596556,0.00321659044144767,0.101717520949011,0.00227561100354294,0.0988485207503687,0.971794434509659,0.0217408573048149,0.10180390846245,0.942540322580645,0.00738883085893255,0.386533315500041,"03b_2x2_to_cor_CONT",1000
0.1,100,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0405466410530813,0.0032141727930209,0.10164106819291,0.00227390061253644,0.0986732399360028,0.970800894661257,0.0217186299619698,0.109382841146771,0.929506545820745,0.008123178522121,0.385884985581468,"03b_2x2_to_cor_CONT",1000
