"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00587652642415131,0.0056043050126959,0.177223685424179,0.00396482498665944,0.368565067255345,2.07966032516025,0.0465258873339889,0.177232502672243,1,0,1.48059926970737,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00478792852525721,0.0056616791041961,0.179038013502415,0.00400541489585452,0.322221367519265,1.79973716874891,0.0402634832866525,0.179012513328468,1,0,1.29520028094342,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0462024130711851,0.0192825186247562,0.609766778788472,0.0136416221950745,0.530700991019654,0.870334379439444,0.0194710062940574,0.611210579066786,0.91,0.00904986187739901,2.11247369534403,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0129698773529494,0.0143060550838969,0.452397183969455,0.0101209703127624,0.386619423839627,0.854601747180041,0.019119037913879,0.452356901760082,0.912,0.00895857131466843,1.54326777163039,"08b_pre_post_to_smd_g",1000
1,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.010105877628485,0.0117438324246803,0.371372589213276,0.00830829873303337,0.301478495688039,0.811795227878011,0.0181613760928059,0.371324401543443,0.907,0.00918428004799505,1.20828917436636,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00416673952475191,0.0101896066369002,0.322223654337729,0.00720874522473191,0.266824013829095,0.828070845318611,0.0185254920660594,0.322089455042559,0.897,0.00961202372032029,1.07200409357041,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0107811749032061,0.0156732179837333,0.49563067092909,0.0110881841981283,0.52724236587861,1.0637807480523,0.0237987630158468,0.495500096807203,0.958,0.00634318531969546,2.10095574862653,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00367154804670022,0.0118033273194194,0.373253982978551,0.00835038902696023,0.383877395258569,1.02846161799867,0.0230086080825007,0.373085375669702,0.963,0.00596917079668525,1.53437856484523,"08b_pre_post_to_smd_g",1000
1,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00429006094128413,0.0092458918075392,0.29238077111315,0.00654110416535789,0.298542026820236,1.02107271173692,0.0228433044432013,0.292266031937144,0.959,0.00627048642451286,1.19758845741036,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00224014895760346,0.00791560334988946,0.250313356401094,0.00559997749498468,0.264031440657543,1.05480364473427,0.023597928440841,0.250198197203219,0.972,0.0052168956286282,1.0611211647814,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0087161267039772,0.0119846465405778,0.378987800202834,0.00847866523194582,0.512362296195246,1.35192292712597,0.030245041957442,0.378898524429167,0.993,0.00263647491928143,2.0531327925692,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00856252555208321,0.00814468425637321,0.257557530730541,0.00576204321052583,0.373797997458073,1.45131845455198,0.0324687056272141,0.257571082612563,0.993,0.00263647491928143,1.49913167070074,"08b_pre_post_to_smd_g",1000
1,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00295642410562422,0.00573065784258837,0.181219312736859,0.00405421463550224,0.293664616046197,1.62049293538937,0.0362534548672708,0.181152806528089,0.999,0.000999499874937461,1.17948633775669,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00747982551051593,0.00535677916669147,0.169396230892838,0.00378971020313871,0.260643586693255,1.53866225546742,0.0344227496562077,0.169476652513928,0.998,0.00141279864099595,1.04790448250287,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0125975698969875,0.017836948488075,0.564053837294138,0.0126189382788889,0.421820470716763,0.747837250324025,0.0167305166289858,0.563912469628209,0.853,0.0111978122863352,1.66568827850671,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0140277902325713,0.0143219428704509,0.452899599894347,0.01013221029577,0.278105374131511,0.614055243582435,0.0137375631655425,0.452890393401852,0.771,0.0132875505643441,1.10099930791761,"08b_pre_post_to_smd_g",1000
