or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=50	br=0.15	guessed br=0.05	or = rr	1	0.121968466608974	1.92378252790241
or=0.25	n=50	br=0.15	guessed br=0.15	Di Pietrantonj	1	-0.0940405887579362	1.14621529005757
or=0.25	n=50	br=0.15	guessed br=0.15	Grant	1	0.0380731778584519	2.08413738725103
or=0.25	n=50	br=0.15	guessed br=0.15	metaumbrella	1	-0.100449220471326	1.22739358147167
or=0.25	n=50	br=0.15	guessed br=0.15	or = rr	1	0.122136548949296	1.91756046617527
or=0.25	n=50	br=0.15	guessed br=0.4	Di Pietrantonj	1	-0.0946800821659001	1.14674400773351
or=0.25	n=50	br=0.15	guessed br=0.4	Grant	1	-0.161542477458216	1.90970014664954
or=0.25	n=50	br=0.15	guessed br=0.4	metaumbrella	1	-0.101130329561587	1.22965272733419
or=0.25	n=50	br=0.15	guessed br=0.4	or = rr	1	0.123083474377054	1.93185689785707
or=0.25	n=50	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.0963160509735567	1.12328480533711
or=0.25	n=50	br=0.15	guessed br=0.7	Grant	1	-0.70032850810091	1.77982619217122
or=0.25	n=50	br=0.15	guessed br=0.7	metaumbrella	1	-0.103019136121762	1.21222674468338
or=0.25	n=50	br=0.15	guessed br=0.7	or = rr	1	0.123587960743391	1.90433710875139
or=0.25	n=50	br=0.4	guessed br=0.01	Di Pietrantonj	1	-0.0357086052566874	0.831975247849565
or=0.25	n=50	br=0.4	guessed br=0.01	Grant	0.991633333333333	0.361505826833323	1.12224800492977
or=0.25	n=50	br=0.4	guessed br=0.01	metaumbrella	1	-0.107709833497751	0.784725552922381
or=0.25	n=50	br=0.4	guessed br=0.01	or = rr	0.991633333333333	0.367597514523837	1.11975843488279
or=0.25	n=50	br=0.4	guessed br=0.05	Di Pietrantonj	1	-0.0364314168671477	0.829764243037277
or=0.25	n=50	br=0.4	guessed br=0.05	Grant	0.992463400807016	0.337578272227462	1.13414666782851
or=0.25	n=50	br=0.4	guessed br=0.05	metaumbrella	1	-0.109720591067887	0.782923924412964
