r	br	n	method	bias_ci	bias_es	bias_var
r=0.2	br=0.3	n=100	Cooper (r)	1	0.0230995359702222	3.87657095433072
r=0.2	br=0.3	n=100	Digby (r)	0.9996	0.116115156016131	0.961947377483152
r=0.2	br=0.3	n=100	Pearson (r)	0.998533333333333	0.130951568524789	0.962165945953594
r=0.2	br=0.3	n=100	Bonett (z)	0.999866666666667	0.128572098230287	0.961276142137015
r=0.2	br=0.3	n=100	Cooper (z)	1	0.0250035589933053	3.89626675890782
r=0.2	br=0.3	n=100	Digby (z)	0.9996	0.131857669245335	0.95723068389264
r=0.2	br=0.3	n=100	Pearson (z)	0.998533333333333	0.150156747879474	0.957596810847922
r=0.2	br=0.3	n=300	Bonett (r)	0.966266666666667	0.114579499750915	0.980802559100239
r=0.2	br=0.3	n=300	Cooper (r)	1	0.0225379627152797	6.91625454902151
r=0.2	br=0.3	n=300	Digby (r)	0.952133333333333	0.11762800374869	0.969276385917211
r=0.2	br=0.3	n=300	Pearson (r)	0.907466666666667	0.132691980628899	0.969339735987857
r=0.2	br=0.3	n=300	Bonett (z)	0.966266666666667	0.12526509887076	0.978797358606555
r=0.2	br=0.3	n=300	Cooper (z)	1	0.0238620916594302	7.07579963276146
r=0.2	br=0.3	n=300	Digby (z)	0.952133333333333	0.128751456474517	0.966732774303093
r=0.2	br=0.3	n=300	Pearson (z)	0.907466666666667	0.146162769392076	0.966689048482542
r=0.2	br=0.5	n=25	Bonett (r)	1	0.107153940838481	0.927384813453964
r=0.2	br=0.5	n=25	Cooper (r)	1	0.0230851816217254	1.76588498310658
r=0.2	br=0.5	n=25	Digby (r)	1	0.11003270851978	0.931867769120711
r=0.2	br=0.5	n=25	Pearson (r)	1	0.123987446169288	0.932353600267138
r=0.2	br=0.5	n=25	Bonett (z)	1	0.145820520728663	0.961154521404201
r=0.2	br=0.5	n=25	Cooper (z)	1	0.0272402548684025	1.75606835640145
r=0.2	br=0.5	n=25	Digby (z)	1	0.149008994196436	0.963563561709524
r=0.2	br=0.5	n=25	Pearson (z)	1	0.172876315156339	0.974009775566503
