"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,300,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.000413397648791903,0.00305757264734915,0.096688936770541,0.00216311217952515,0.0944642173559164,0.976990962059039,0.0218571133358433,0.0966414643977413,0.936,0.0077397674383666,0.369904561338868,"09a_or_to_cor_CONT",1000
0.5,300,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00454517964105994,0.00262309918625843,0.0829496795711087,0.00185573932407376,0.0806297453507398,0.972032029148707,0.0217461727408376,0.0830326884400245,0.935,0.0077958322198467,0.314975956349173,"09a_or_to_cor_CONT",1000
0.75,300,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00165731777902213,0.00172331427403748,0.0544959823023801,0.00121917695023596,0.0548605178755503,1.00668921923726,0.0225215188403254,0.0544939352335183,0.94,0.00750999334220744,0.213061911640543,"09a_or_to_cor_CONT",1000
0,25,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00395415070511859,0.010507884977515,0.332288499200144,0.00743391461053858,0.317999252263826,0.956997467650208,0.0214098215079308,0.332145851038038,0.874,0.010493998284734,1.23651778134294,"09a_or_to_cor_CONT",1000
0.1,25,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0189970363187598,0.0105973158859279,0.335116552838173,0.00749718345465967,0.315238375596925,0.940682795066687,0.0210448317981553,0.335487240101691,0.881,0.0102390917565964,1.22417758556008,"09a_or_to_cor_CONT",1000
0.25,25,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00682461689700454,0.00997553971071162,0.315454263753059,0.00705730130869825,0.30677451048281,0.972484907425303,0.0217563044740914,0.315370348199154,0.888,0.00997276290703835,1.18660473521469,"09a_or_to_cor_CONT",1000
0.5,25,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0286216344389624,0.00840025258876192,0.265639311012134,0.00594284773628918,0.274599697546653,1.03373140255626,0.0231265030096841,0.267044710244191,0.919,0.00862780389206894,1.04430140009414,"09a_or_to_cor_CONT",1000
0.75,25,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.048749214872817,0.00580388305919443,0.183534897403203,0.0041060185911748,0.212494744076311,1.15778932008493,0.0259019104279043,0.189810061527189,0.953,0.00669260786241059,0.783589073190681,"09a_or_to_cor_CONT",1000
0,50,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00820955077038326,0.00761172242732003,0.240703797873167,0.0053849937151863,0.227766989714627,0.946254241632876,0.0211694754681286,0.240723444467105,0.917,0.00872416185085994,0.890791551358176,"09a_or_to_cor_CONT",1000
0.1,50,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00561701987759239,0.00744086871296187,0.235300929032452,0.00526412144392051,0.227545041332703,0.967038431460341,0.021634456629976,0.235250316872553,0.922,0.00848033018225116,0.889642803867095,"09a_or_to_cor_CONT",1000
0.25,50,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00655964975923092,0.0071426355626851,0.225869968746033,0.00505313324049675,0.220274784230816,0.975228293755561,0.0218176791523362,0.225852284787018,0.91,0.00904986187739901,0.858731294332385,"09a_or_to_cor_CONT",1000
0.5,50,0.5,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00195250965269501,0.00626016173735573,0.197963696110809,0.00442881777857728,0.190501816909874,0.962306830254584,0.0215286018699726,0.197874322858775,0.896,0.00965318600255895,0.733108719468067,"09a_or_to_cor_CONT",1000
